id,name,label,wiki_url,alma_mater,birth_date,birth_place,children,death_date,education,nationality,occupation,spouse
22,Alan García,Person,https://vi.wikipedia.org/wiki/Alan_Garc%C3%ADa,Pontifical Catholic University of Peru; National University of San Marcos; Đại học Complutense; Đại học Pantheon-Sorbonne,"Alan Gabriel Ludwig García Pérez; (; 1949-05-23; ); 23 tháng 5 năm 1949; Lima; ,; Peru",,,"17 tháng 4 năm 2019; (2019-04-17); (69 tuổi); Lima; ,; Peru",,,,
23,Alassane Ouattara,Person,https://vi.wikipedia.org/wiki/Alassane_Ouattara,Đại học Drexel; Đại học Pennsylvania,"1 tháng 1, 1942; (83 tuổi); Dimbokro; ,; Tây Phi thuộc Pháp; (nay là; Côte d'Ivoire; )",,,,,,,
26,Alenka Bratušek,Person,https://vi.wikipedia.org/wiki/Alenka_Bratu%C5%A1ek,Đại học Ljubljana,"31 tháng 3, 1970; (55 tuổi); Celje; ,; Yugoslavia; (Hiện nay là; Slovenia; )",,,,,,,
27,Aleksander Kwaśniewski,Person,https://vi.wikipedia.org/wiki/Aleksander_Kwa%C5%9Bniewski,Đại học Gdańsk,"15 tháng 11; năm; 1954; (62 tuổi); Białogard; ,; Ba Lan",,Aleksandra Kwaśniewska,,,,,
28,Alex Salmond,Person,https://vi.wikipedia.org/wiki/Alex_Salmond,Viện đại học Thương mại Edinburgh; Đại học St Andrews,"Alexander Elliot Anderson Salmond; 31 tháng 12, 1954; (70 tuổi); Linlithgow; ,; Scotland",,,,,,,
29,Alcide De Gasperi,Person,https://vi.wikipedia.org/wiki/Alcide_De_Gasperi,Đại học Viên; Đại học Innsbruck,"Alcide Amedeo Francesco De Gasperi; 3 tháng 4 năm 1881; Pieve Tesino; ,; Tyrol; ,; Đế quốc Áo-Hung",,Maria Romana De Gasperi; và 3 người con gái khác,"19 tháng 8 năm 1954; (1954-08-19); (73 tuổi); Borgo Valsugana; ,; Trentino; ,; Ý",,,"Nhà báo, nhà chính trị",
30,Alberto Fernández,Person,https://vi.wikipedia.org/wiki/Alberto_Fern%C3%A1ndez,Đại học Buenos Aires,"Alberto Ángel Fernández; 2 tháng 4, 1959; (66 tuổi); Buenos Aires; ,; Argentina",,Estanislao; (b. 1994); Francisco; (b. 2022),,,,,
31,Albert Speer,Person,https://vi.wikipedia.org/wiki/Albert_Speer,Đại học Kỹ thuật Berlin Đại học Kỹ thuật Munich Viện Công nghệ Karlsruhe,"Berthold Konrad Hermann Albert Speer; (; 1905-03-19; ); 19 tháng 3, 1905; Mannheim; ,; Baden; ,; Đức",,"Albert Speer, Jr. , Hilde Schramm , Fritz Speer, Margret Nissen , Arnold Speer, Ernst Speer","1 tháng 9, 1981; (1981-09-01); (76 tuổi); London, Vương quốc Anh",,Đức,,
32,Aldo Moro,Person,https://vi.wikipedia.org/wiki/Aldo_Moro,Đại học Bari,"Aldo Romeo Luigi Moro; 23 tháng 9; năm; 1916; Maglie; ,; Apulia; ,; Vương quốc Ý",,4,"9 tháng 5; năm; 1978; (61 tuổi); Rome; ,; Lazio; ,; Ý",,,Giáo sư,
34,Albert Gallatin,Person,https://vi.wikipedia.org/wiki/Albert_Gallatin,Đại học Geneva,"Abraham Alfonse Albert Gallatin; (; 1761-01-29; ); 29 tháng 1, 1761; Genève; ,; Thụy Sĩ",,James Gallatin,"12 tháng 8, 1849; (1849-08-12); (88 tuổi); Astoria; ,; Thành phố New York; ,; New York; ,; Hoa Kỳ",,,,
35,Alexander Stubb,Person,https://vi.wikipedia.org/wiki/Alexander_Stubb,Đại học Furman; Đại học Paris-Sorbonne; Đại học Châu Âu; Trường Kinh tế London,"Cai-Göran Alexander Stubb; 1 tháng 4; năm; 1968; (57 tuổi); Helsinki; ,; Phần Lan",,Oliver; Emilie,,,,,
36,Alberto Fujimori,Person,https://vi.wikipedia.org/wiki/Alberto_Fujimori,Đại học Nông nghiệp Quốc gia La Molina; Đại học Strasbourg; Đại học Wisconsin–Milwaukee,"Alberto Kenya Fujimori Inomoto; (; 1938-07-26; ); 26 tháng 7 năm 1938; Lima; ,; Peru",,Keiko Hiro Sachi Kenji,"11 tháng 9 năm 2024; (2024-09-11); (86 tuổi); Lima, Peru",,,,
37,Alexandre Millerand,Person,https://vi.wikipedia.org/wiki/Alexandre_Millerand,Đại học Paris,"10 tháng 2; năm; 1859; Paris; ,; Đệ nhị Đế chế Pháp",,Jean; (1899–1972); Alice; (1902–1980); Jacques; (1904–1979); Marthe; (1909–1975),"7 tháng 4; năm; 1943; (84 tuổi); Versailles; ,; Pháp",,,,
38,Alexander Van der Bellen,Person,https://vi.wikipedia.org/wiki/Alexander_Van_der_Bellen,Đại học Innsbruck,"18 tháng 1, 1944; (81 tuổi); Vienna; ,; Áo",,hai con trai (với Brigitte),,,,,
40,Alexis Tsipras,Person,https://vi.wikipedia.org/wiki/Alexis_Tsipras,Đại học Công nghệ Quốc gia Athens,"28 tháng 7, 1974; (51 tuổi); Athens; ,; Hy Lạp",,2,,,,,
41,Alfred Rosenberg,Person,https://vi.wikipedia.org/wiki/Alfred_Rosenberg,Học viện Kỹ thuật Riga; ĐH Kỹ thuật Quốc gia Moskva Bauman,"12/01/1893; Reval; ,; Vùng Estonia; ,; Đế quốc Nga",,2,"16/10/1946 (53 tuổi); Nuremberg; ,; Bavaria; , Vùng; Đồng Minh chiếm đóng Đức",Kỹ sư,Đức,,
42,Anders Fogh Rasmussen,Person,https://vi.wikipedia.org/wiki/Anders_Fogh_Rasmussen,Đại học Aarhus,"26 tháng 1, 1953; (72 tuổi); Ginnerup; ,; Đan Mạch",,,,,,,
