id,name,label,wiki_url,alma_mater,birth_date,birth_place,children,death_date,education,nationality,occupation,spouse
330,George W. Bush,Person,https://vi.wikipedia.org/wiki/George_W._Bush,Đại học Yale; Đại học Harvard,"6 tháng 7, 1946; (79 tuổi); New Haven; ,; Connecticut; ,; Hoa Kỳ",,Barbara; Jenna,,,,,
333,Giorgio Napolitano,Person,https://vi.wikipedia.org/wiki/Giorgio_Napolitano,Đại học Napoli Federico II,"29 tháng 6 năm 1925; Naples; ,; Vương quốc Ý",,Giulio; Giovanni,"22 tháng 9 năm 2023; (2023-09-22); (98 tuổi); Roma; , Ý",,,,
334,Giovanni Spadolini,Person,https://vi.wikipedia.org/wiki/Giovanni_Spadolini,Đại học Firenze,"21 tháng 6; năm; 1925; Florence; ,; Toscana; ,; Vương quốc Ý",,,"4 tháng 8; năm; 1994; (69 tuổi); Rome; ,; Lazio; ,; Ý",,,,
335,Giovanni Giolitti,Person,https://vi.wikipedia.org/wiki/Giovanni_Giolitti,Đại học Turin,"27 tháng 10; năm; 1842; Mondovì; ,; Vương quốc Sardegna",,7,"17 tháng 7; năm; 1928; (85 tuổi); Cavour, Piemonte; ,; Piemonte; ,; Vương quốc Ý",,,,
336,Giuliano Amato,Person,https://vi.wikipedia.org/wiki/Giuliano_Amato,Đại học Pisa; Trường Nghiên cứu Cao cấp Sant'Anna; Đại học Columbia,"13 tháng 5; năm; 1938; (87 tuổi); Turin; ,; Piedmont; ,; Vương quốc Ý",,2,,,,,
337,Giulio Andreotti,Person,https://vi.wikipedia.org/wiki/Giulio_Andreotti,Đại học Roma La Sapienza,"14 tháng 1; năm; 1919; Rome; ,; Lazio; ,; Vương quốc Ý",,"4, bao gồm Lamberto","6 tháng 5; năm; 2013; (94 tuổi); Rome; ,; Lazio; ,; Ý",,,,
339,George Weah,Person,https://vi.wikipedia.org/wiki/George_Weah,Đại học Parkwood; Đại học DeVry,"George Tawlon Manneh Oppong; Ousman Weah; 1 tháng 10, 1966; (59 tuổi); Monrovia; ,; Liberia",,"4, bao gồm George Jr. và Timothy",,,,,
340,Gerald Ford,Person,https://vi.wikipedia.org/wiki/Gerald_Ford,Đại học Michigan; Đại học Yale,"Leslie Lynch King, Jr.; (; 1913-07-14; ); 14 tháng 7, 1913; Omaha; ,; Nebraska; ,; Hoa Kỳ",,Michael; John; Steven; Susan,"26 tháng 12, 2006; (2006-12-26); (93 tuổi); Rancho Mirage; ,; California; ,; Hoa Kỳ",,,Luật sư,
341,Giuseppe Mazzini,Person,https://vi.wikipedia.org/wiki/Giuseppe_Mazzini,Đại học Genoa,"(; 1805-06-22; ); 22 tháng 6 năm 1805; Genoa; ,; Gênes; , Pháp",,,"10 tháng 3 năm 1872; (1872-03-10); (66 tuổi); Pisa; , Tuscany,; Italy",,Ý,,
342,Giang Trạch Dân,Person,https://vi.wikipedia.org/wiki/Giang_Tr%E1%BA%A1ch_D%C3%A2n,Trung học Dương Châu; Đại học Trung ương Quốc lập; Đại học Giao thông,"(; 1926-08-17; ); 17 tháng 8 năm 1926; Dương Châu; , tỉnh; Giang Tô; ,; Trung Hoa Dân Quốc",,Giang Miên Hằng; (con trưởng); Giang Miên Khang; (con thứ),"30 tháng 11 năm 2022; (2022-11-30); (96 tuổi); Thượng Hải; , Trung Quốc",,,,
343,Giả Xuân Vượng,Person,https://vi.wikipedia.org/wiki/Gi%E1%BA%A3_Xu%C3%A2n_V%C6%B0%E1%BB%A3ng,Đại học Thanh Hoa,"tháng 5, 1938 (87 tuổi); Bắc Kinh; ,; Trung Hoa Dân Quốc",,,,,,,
344,Giuseppe Saragat,Person,https://vi.wikipedia.org/wiki/Giuseppe_Saragat,Đại học Turin,"19 tháng 9; năm; 1898; Turin; ,; Vương quốc Ý",,,"11 tháng 6; năm; 1988; (89 tuổi); Rome; ,; Ý",,,,
345,Goodluck Jonathan,Person,https://vi.wikipedia.org/wiki/Goodluck_Jonathan,Đại học Port Harcourt,"20 tháng 11, 1957; (67 tuổi); Ogbia; ,; Nigeria",,,,,,,
346,Goodwin Knight,Person,https://vi.wikipedia.org/wiki/Goodwin_Knight,Stanford University ( B.A. ),"Goodwin Jess Knight; (; 1896-12-09; ); 9 tháng 12, 1896; Provo, Utah",,2,"22 tháng 5, 1970; (1970-05-22); (73 tuổi); Inglewood, California",,,,
347,Giuseppe Conte,Person,https://vi.wikipedia.org/wiki/Giuseppe_Conte,Sapienza University ( Roma ),"8 tháng 8; năm; 1964; (61 tuổi); Volturara Appula; ,; Ý",,1,,,,,
348,Gough Whitlam,Person,https://vi.wikipedia.org/wiki/Gough_Whitlam,Đại học Sydney,"Edward Gough Whitlam; 11 tháng 7; năm; 1916; Kew; ,; Melbourne; ,; Úc",,"4, bao gồm Tony và Nicholas","21 tháng 10; năm; 2014; (98 tuổi); Elizabeth Bay, New South Wales; ,; Úc",Trường Mowbray House Trường Ngữ php Knox Trường Telopea Park Trường Ngữ pháp Canberra,,Đại sứ; nhân quyền; (; UNESCO; ),
349,Gloria Macapagal Arroyo,Person,https://vi.wikipedia.org/wiki/Gloria_Macapagal_Arroyo,"Đại học Georgetown; Assumption College; Đại học Ateneo de Manila; Đại học Philippines, Diliman","Maria Gloria Macaraeg Macapagal; 5 tháng 4; năm; 1947; (78 tuổi); Manila; ,; Philippines",,"3, bao gồm Mikey và Diosdado",,,,,
351,Graham Greene,Person,https://vi.wikipedia.org/wiki/Graham_Greene,"Balliol College, Oxford","Henry Graham Greene; (; 1904-10-02; ); 2 tháng 10 năm 1904; Berkhamsted; ,; Hertfordshire; , Anh Quốc",,Lucy Caroline (b. 1933); Francis (b. 1936),"3 tháng 4 năm 1991; (1991-04-03); (86 tuổi); Vevey; , Thụy Sĩ",,,Nhà văn,
352,Gotō Fumio,Person,https://vi.wikipedia.org/wiki/Got%C5%8D_Fumio,Đại học Đế quốc Tokyo,"(; 1884-03-07; ); 7 tháng 3 năm 1884; Ōita; ,; Đế quốc Nhật Bản",,,"13 tháng 5 năm 1980; (1980-05-13); (96 tuổi); Tokyo; , Nhật Bản",,,,
354,Giả Khánh Lâm,Person,https://vi.wikipedia.org/wiki/Gi%E1%BA%A3_Kh%C3%A1nh_L%C3%A2m,Đại học Công nghiệp Hà Bắc,"(; 1940-03-13; ); 13 tháng 3, 1940; Bạc Đầu; ,; Thương Châu; ,; Hà Bắc; ,; Trung Quốc",,,,,,Kĩ sư,
356,Golda Meir,Person,https://vi.wikipedia.org/wiki/Golda_Meir,Đại học Wisconsin–Milwaukee,"Golda Mabovitch; (; 1898-05-03; ); 3 tháng 5 năm 1898; Kiev; ,; Đế quốc Nga",,2,8 tháng 12 năm 1978; (1978-12-08); (80 tuổi); Tây Jerusalem,,,,
358,Grzegorz Schetyna,Person,https://vi.wikipedia.org/wiki/Grzegorz_Schetyna,Đại học Wrocław,"Grzegorz Juliusz Schetyna; 18 tháng 2; năm; 1963; (54 tuổi); Opole; ,; Cộng hòa Nhân dân Ba Lan",,1,,,,,
359,Gro Harlem Brundtland,Person,https://vi.wikipedia.org/wiki/Gro_Harlem_Brundtland,Đại học Oslo Đại học Harvard,"Gro Harlem Brundtland; 20 tháng 4, 1939; (86 tuổi); Bærum; ,; Akershus; ,; Na Uy",,Jørgen,,,,,
360,Gulzarilal Nanda,Person,https://vi.wikipedia.org/wiki/Gulzarilal_Nanda,Đại học Allahabad,"4 tháng 7; năm; 1898; Sialkot; ,; Punjab; ,; Ấn Độ thuộc Anh; (nay là; Punjab; ,; Pakistan; )",,hai con trai và một con gái,"15 tháng 1; năm; 1998; (99 tuổi); Ahmedabad; ,; Gujarat; ,; Ấn Độ",,,,
361,Guido Westerwelle,Person,https://vi.wikipedia.org/wiki/Guido_Westerwelle,Đại học Bonn; Đại học Hagen,"(; 1961-12-27; ); 27 tháng 12 năm 1961; Bad Honnef; ,; Tây Đức; (nay là Đức)",,,"18 tháng 3 năm 2016; (2016-03-18); (54 tuổi); Cologne; , Đức",,,,
363,Guadalupe Victoria,Person,https://vi.wikipedia.org/wiki/Guadalupe_Victoria,Đại học San Ildefonso,"José Miguel Ramón Adaucto Fernández y Félix; 29 tháng 9; năm; 1786; Tamazula; ,; Nueva Vizcaya; ,; Đế quốc Tây Ban Nha",,,"21 tháng 3; năm; 1843; (56 tuổi); San Carlos Fortress; ,; Perote, Veracruz; ,; Mexico",,,Luật sư; Sĩ quan (; tướng; ),
365,Greg Abbott,Person,https://vi.wikipedia.org/wiki/Greg_Abbott,Đại học Texas tại Austin; (BBA); Đại học Vanderbilt; (JD),"tháng 11, 1957 (67 tuổi); Wichita Falls, Texas; ,; Hoa Kỳ",,Audrey Abbott,,"Cử nhân Quản trị kinh doanh, Tiến sĩ Luật",Hoa Kỳ,Luật gia; Chính trị gia,
368,Habib Bourguiba,Person,https://vi.wikipedia.org/wiki/Habib_Bourguiba,Đại học Paris,"Habib Ibn Ali Bourguiba; 3 tháng 8; năm; 1903; Monastir; ,; Tunisia",,Jean Habib Bourguiba; Hajer Bourguiba; (con nuôi),"6 tháng 4; năm; 2000; (96 tuổi); Monastit; ,; Tunisia",,,Chính trị gia,
369,H. G. Wells,Person,https://vi.wikipedia.org/wiki/H._G._Wells,Đại học Khoa học Hoàng gia ( Đại học Hoàng gia Luân Đôn ),"Herbert George Wells; (; 1866-09-21; ); 21 tháng 9 năm 1866; Bromley; ,; Kent; , Anh",,"4, bao gồm George Phillip ""G. P."" Wells và Anthony West","13 tháng 8 năm 1946; (1946-08-13); (79 tuổi); Hannover Terrace; ,; Luân Đôn; , Anh",,,Tiểu thuyết giáo viên nhà sử nhà báo,
370,Hafez al-Assad,Person,https://vi.wikipedia.org/wiki/Hafez_al-Assad,Học viện Quân sự Homs,"Hafez ibn 'Ali ibn Sulayman al-Assad; (; 1930-10-06; ); 6 tháng 10 năm 1930; Qardaha; ,; Quốc gia Alawite; ,; Syria thuộc Pháp",,Bushra al-Assad; (sinh 1960); Bassel al-Assad; (1962–1994); Bashar al-Assad; (sinh 1965); Majd al-Assad; (1966–2009); Maher al-Assad; (sinh 1968),"10 tháng 6 năm 2000; (2000-06-10); (69 tuổi); Damas; ,; Syria",,,Chính khách,
372,Hailemariam Desalegn,Person,https://vi.wikipedia.org/wiki/Hailemariam_Desalegn,Đại học Addis Ababa; Đại học Arba Minch; Đại học Công nghệ Tampere; Đại học Thái Bình Dương Azusa,"19 tháng 7, 1965; (60 tuổi); Boloso Sore; ,; Ethiopia",,,,,,,
373,Hamid Karzai,Person,https://vi.wikipedia.org/wiki/Hamid_Karzai,Đại học Himachal,"24 tháng 12, 1957; (67 tuổi); Karz; ,; Kandahar; ,; Vương quốc Afghanistan",,Mirwais Malalai Howsi,,,Afghan,,
375,Hara Takashi,Person,https://vi.wikipedia.org/wiki/Hara_Takashi,Đại học Tokyo (Chưa hoàn thành),"9 tháng 2 năm 1856; Morioka; ,; Lãnh thổ Nanbu; , Nhật Bản",,,"4 tháng 11 năm 1921 (65 tuổi); Tokyo; ,; Đế quốc Nhật Bản",,,,
376,Harold Alexander,Person,https://vi.wikipedia.org/wiki/Harold_Alexander,"Trường Harrow Royal Military College, Sandhurst","(; 1891-12-10; ); 10 tháng 12 năm 1891; Luân Đôn; , Anh Quốc",,"{{plainlist| Lady Rose Maureen Alexander Shane Alexander, Bá tước Alexander đệ nhị của Tunis Brian James Alexander}}","16 tháng 6 năm 1969; (1969-06-16); (77 tuổi); Slough; ,; Buckinghamshire; , Anh Quốc",,,,
377,Harold Holt,Person,https://vi.wikipedia.org/wiki/Harold_Holt,Đại học Melbourne,"Harold Edward Holt; 5 tháng 8; năm; 1908; Stanmore, New South Wales; ,; Úc",,3,"17 tháng 12; năm; 1967; (59 tuổi); Mũi Nepean; ,; Victoria; ,; Úc",Cao đẳng Wesley,,Luật sư,
378,Han Duck-soo,Person,https://vi.wikipedia.org/wiki/Han_Duck-soo,Đại học Harvard; Đại học Quốc gia Seoul,"18 tháng 6, 1949; (76 tuổi); Jeonju; ,; Jeollabuk-do; ,; Hàn Quốc; [; 1; ]",,,,,,,
379,Giáo hoàng Lêô XIV,Person,https://vi.wikipedia.org/wiki/Gi%C3%A1o_ho%C3%A0ng_L%C3%AA%C3%B4_XIV,Viện Đại học Villanova Học viện Hiệp hội Thần học Công giáo Viện Giáo hoàng Đại học Thánh Thomas Aquinas,"14 tháng 9, 1955; (70 tuổi); Chicago; ,; Illinois; ,; Hoa Kỳ",,,,,Hoa Kỳ Perú (từ 2015) Thành Vatican (từ 2023),,
380,Harold Macmillan,Person,https://vi.wikipedia.org/wiki/Harold_Macmillan,"Đại học Balliol, Oxford","Maurice Harold Macmillan; 10 tháng 2; năm; 1894; Belgravia; ,; Middlesex; ,; Vương quốc Liên hiệp Anh và Ireland",,Maurice Macmillan; Caroline Faber; Catherine Amery; Sarah Heath,"29 tháng 12; năm; 1986; (92 tuổi); Chelwood Gate; ,; Tây Sussex; ,; Vương quốc Liên hiệp Anh và Bắc Ireland",,,Nhà xuất bản,
381,Harold Wilson,Person,https://vi.wikipedia.org/wiki/Harold_Wilson,"Đại học Jesus, Oxford","James Harold Wilson; 11 tháng 3; năm; 1916; Huddersfield; ,; West Riding of Yorkshire; ,; Vương quốc Liên hiệp Anh và Ireland",,Robin Wilson; Giles Wilson,"23 tháng 5; năm; 1995; (79 tuổi); London; ,; Vương quốc Liên hiệp Anh và Bắc Ireland",,,,
382,Harri Holkeri,Person,https://vi.wikipedia.org/wiki/Harri_Holkeri,Đại học Helsinki,"6 tháng 1; năm; 1937; Oripää; ,; Phần Lan",,,"7 tháng 8; năm; 2011; (74 tuổi); Helsinki; ,; Phần Lan",,,,
386,Hayashi Yoshimasa,Person,https://vi.wikipedia.org/wiki/Hayashi_Yoshimasa,Đại học Tokyo; Trường Harvard Kennedy,"19 tháng 1, 1961; (64 tuổi); Shimonoseki; ,; Nhật Bản",,,,,,,
387,Hartwig Löger,Person,https://vi.wikipedia.org/wiki/Hartwig_L%C3%B6ger,Đại học Kinh tế và Doanh nghiệp Viên Đại học St. Gallen,"15 tháng 7, 1965; (60 tuổi); Selzthal; ,; Styria; , Austria",,,,,,,
388,Greg Gianforte,Person,https://vi.wikipedia.org/wiki/Greg_Gianforte,"Viện Công nghệ Stevens (BS, MS)","tháng 4, 1961 (64 tuổi); San Diego, California; ,; Hoa Kỳ",,4,,Thạc sĩ Khoa học,Hoa Kỳ,"Doanh nhân, Kỹ sư, Tác giả, Nhà thiện nguyện, Chính trị gia",
389,Harry S. Truman,Person,https://vi.wikipedia.org/wiki/Harry_S._Truman,Trường Luật UMKC,"(; 1884-05-08; ); 8 tháng 5, 1884; Lamar; ,; Missouri; ,; Hoa Kỳ",,Margaret Truman,"26 tháng 12, 1972; (1972-12-26); (88 tuổi); Thành phố Kansas; ,; Missouri; ,; Hoa Kỳ",,,,
390,Hatoyama Yukio,Person,https://vi.wikipedia.org/wiki/Hatoyama_Yukio,Đại học Tokyo; Đại học Stanford; Đại học Hồng Kông; [; 1; ],"11 tháng 2; năm; 1947; (78 tuổi); Bunkyō; ,; Tokyo; ,; Nhật Bản",,1,,,,,
391,Harry Reid,Person,https://vi.wikipedia.org/wiki/Harry_Reid,Đại học Nam Utah; Đại học Tiểu bang Utah; Đại học George Washington,"Harry Mason Reid; 2 tháng 12 năm 1939; Searchlight; ,; Nevada; , Hoa Kỳ",,"Lana, Rory , Leif, Josh, Key","28 tháng 12 năm 2021; (82 tuổi); Henderson, Nevada; , Hoa Kỳ",,Mỹ,,
393,Helle Thorning-Schmidt,Person,https://vi.wikipedia.org/wiki/Helle_Thorning-Schmidt,Đại học Copenhagen; College of Europe,"14 tháng 12, 1966; (58 tuổi); Rødovre; ,; Đan Mạch",,,,,,,
395,"Henry John Temple, Tử tước Palmerston thứ 3",Person,https://vi.wikipedia.org/wiki/Henry_John_Temple%2C_T%E1%BB%AD_t%C6%B0%E1%BB%9Bc_Palmerston_th%E1%BB%A9_3,Đại học Edinburgh; Đại học Cambridge,"20 tháng 10; năm; 1784; Westminster; ,; Middlesex; ,; Anh",,,"18 tháng 10; năm; 1865; (80 tuổi); Brocket Hall; ,; Hertfordshire; ,; Anh",,,,
397,"Henry Addington, Tử tước Sidmouth thứ 1",Person,https://vi.wikipedia.org/wiki/Henry_Addington%2C_T%E1%BB%AD_t%C6%B0%E1%BB%9Bc_Sidmouth_th%E1%BB%A9_1,"Đại học Brasenose, Oxford","30 tháng 5; năm; 1757; Bedford Row,; Holborn; ,; Middlesex; ,; Anh",,,"15 tháng 2; năm; 1844; (86 tuổi); White Lodge; ,; Richmond; ,; Surrey; ,; Anh",,,,
398,Helmut Schmidt,Person,https://vi.wikipedia.org/wiki/Helmut_Schmidt,Đại học Hamburg,"(; 1918-12-23; ); 23 tháng 12, 1918; Hamburg; ,; Đức",,2 người,"10 tháng 11 năm 2015; (2015-11-10); (96 tuổi); Hamburg, Đức",,,,
403,Herman Cain,Person,https://vi.wikipedia.org/wiki/Herman_Cain,"Morehouse College; (mathematics, 1967); Purdue University; (; Masters; ,; computer science; , 1971)","(; 1945-12-13; ); 13 tháng 12, 1945; Memphis; ,; Tennessee; , US",,Melanie Cain and Vincent Cain,"30 tháng 7, 2020; (2020-07-30); (74 tuổi); Georgia; ,; Hoa Kỳ",,,Businessman; Radio host; Columnist,
404,Henry McMaster,Person,https://vi.wikipedia.org/wiki/Henry_McMaster,"Đại học South Carolina (BS, JD)","tháng 5, 1947 (78 tuổi); Columbia; ,; South Carolina; ,; Hoa Kỳ",,2,,"Cử nhân Nghệ thuật, Tiến sĩ Luật",Hoa Kỳ,"Luật gia, Chính trị gia",
406,Helmut Kohl,Person,https://vi.wikipedia.org/wiki/Helmut_Kohl,Đại học Heidelberg,"(; 1930-04-03; ); 3 tháng 4 năm 1930; Ludwigshafen; ,; Đức",,2,"16 tháng 6 năm 2017; (2017-06-16); (87 tuổi); Oggersheim; , Đức; [; 1; ]",,,,
409,Henry A. Wallace,Person,https://vi.wikipedia.org/wiki/Henry_A._Wallace,Đại học Tiểu bang Iowa,"Henry Agard Wallace; (; 1888-10-07; ); 7 tháng 10, 1888; Orient, Iowa",,"Henry Browne Wallace; (1915–2005), Jean Wallace; (1920–2011), Robert Browne Wallace (1918–2002)","18 tháng 11, 1965; (1965-11-18); (77 tuổi); Danbury, Connecticut",,Hoa Kỳ,,
410,Hiranuma Kiichirō,Person,https://vi.wikipedia.org/wiki/Hiranuma_Kiichir%C5%8D,Đại học Tokyo,"28 tháng 9; năm; 1867; Tsuyama; , Nhật Bản",,Takeo Hiranuma (Nhận nuôi),"22 tháng 8; năm; 1952; (84 tuổi); Tokyo; ,; Nhật Bản",,,,
411,Herman Van Rompuy,Person,https://vi.wikipedia.org/wiki/Herman_Van_Rompuy,Đại học Công giáo Leuven,"Herman Achille Van Rompuy; 31 tháng 10; năm; 1947; (75 tuổi); Etterbeek; ,; Bỉ",,Peter Laura Elke Thomas,,,,,
412,Heinrich Himmler,Person,https://vi.wikipedia.org/wiki/Heinrich_Himmler,Technische Universität München,"Heinrich Luitpold Himmler; 7 tháng 10; , 1900; [; 1; ]; Munich; ,; Bavaria; ,; Đế quốc Đức",,Gudrun (sinh 8 tháng 8 năm 1929 tại Munich) Helge (sinh 15 tháng 2 năm 1942) Nanette Dorothea (sinh 20 tháng 7 năm 1944 tại Berchtesgaden),"23 tháng 5 năm 1945; (1945-05-23); (44 tuổi); Lüneburg; , Lower Saxony,; Đức",,,,
413,Horst Köhler,Person,https://vi.wikipedia.org/wiki/Horst_K%C3%B6hler,Đại học Tübingen,"22 tháng 2; năm; 1943; Heidenstein; ,; Đức Quốc xã; (nay là Skierbieszów,; Ba Lan; )",,2,"1 tháng 2; năm; 2025; (81 tuổi); Berlin; ,; Đức",,,,
414,Howard Dean,Person,https://vi.wikipedia.org/wiki/Howard_Dean,Đại học Yale; (; Cử nhân; ); Đại học Yeshiva; (; MD; ),"Howard Brush Dean III; 17 tháng 11, 1948; (76 tuổi); East Hampton; ,; New York; ,; Hoa Kỳ",,2,,,,,
416,Hoàng Cúc,Person,https://vi.wikipedia.org/wiki/Ho%C3%A0ng_C%C3%BAc,Đại học Thanh Hoa,"(; 1938-09-28; ); 28 tháng 9 năm 1938; Gia Thiện; ,; Trung Hoa Dân Quốc",,"một con trai, một con gái","2 tháng 6 năm 2007; (2007-06-02); (68 tuổi); Bắc Kinh; ,; Cộng hòa Nhân dân Trung Hoa",,,,
417,Hosni Mubarak,Person,https://vi.wikipedia.org/wiki/Hosni_Mubarak,Học viện Quân sự Ai Cập; Học viện Không quân Ai Cập; Học viện Quân sự Frunze,"4 tháng 5; năm; 1928; Kafr-El Meselha; ,; Vương quốc Ai Cập",,Alaa; Gamal,"25 tháng 2; năm; 2020; (91 tuổi); Cairo; ,; Ai Cập",,,,
418,Htin Kyaw,Person,https://vi.wikipedia.org/wiki/Htin_Kyaw,Viện Kinh tế Rangoon; Đại học London; Trường quản lý Arthur D. Little,"20 tháng 7, 1946; (79 tuổi); Kungyangon; ,; huyện Hinthada; ,; Hanthawaddy Division; ,; Miến Điện thuộc Anh",,,,,,,
419,Hubert Humphrey,Person,https://vi.wikipedia.org/wiki/Hubert_Humphrey,Đại học Minnesota Đại học Tiểu bang Louisiana The Capitol College of Pharmacy,"Hubert Horatio Humphrey Jr.; (; 1911-05-27; ); 27 tháng 5, 1911; Wallace, South Dakota; ,; Hoa Kỳ; .",,Nancy Faye Humphrey (1939–2003) Hubert Humphrey III Robert Humphrey Douglas Humphrey,"13 tháng 1, 1978; (1978-01-13); (66 tuổi); Waverly, Minnesota; ,; Hoa Kỳ; .",,,,
420,Hoàng Thủ Hoành,Person,https://vi.wikipedia.org/wiki/Ho%C3%A0ng_Th%E1%BB%A7_Ho%C3%A0nh,Đại học Nông nghiệp Bắc Kinh; Học viện Khoa học Nông nghiệp,"1 tháng 6, 1964; (61 tuổi); Phạm, Bộc Dương; ,; Hà Nam; ,; Trung Quốc",,,,Tiến sĩ Quản trị học,Trung Quốc,Chuyên gia kinh tế; Chính trị gia,
421,Hoài Tiến Bằng,Person,https://vi.wikipedia.org/wiki/Ho%C3%A0i_Ti%E1%BA%BFn_B%E1%BA%B1ng,Đại học Công nghiệp Cát Lâm; Đại học Công nghiệp Cáp Nhĩ Tân; Đại học Hàng không vũ trụ Bắc Kinh,"tháng 12, 1962 (62 tuổi); Cáp Nhĩ Tân; ,; Hắc Long Giang; ,; Trung Quốc",,,,Tiến sĩ Kỹ thuật; Giáo sư Hàng không vũ trụ,Trung Quốc,Nhà khoa học; Chính trị gia,
422,Hillary Clinton,Person,https://vi.wikipedia.org/wiki/Hillary_Clinton,Wellesley College; Đại học Yale,"Hillary Diane Rodham; 26 tháng 10, 1947; (78 tuổi); Chicago; ,; Illinois; ,; Hoa Kỳ",,Chelsea,,,,,
423,Hoàng Tuần Tài,Person,https://vi.wikipedia.org/wiki/Ho%C3%A0ng_Tu%E1%BA%A7n_T%C3%A0i,Phân hiệu Madison Đại học Wisconsin; Phân hiệu Ann Arbor Đại học Michigan; Đại học Harvard,"18 tháng 12, 1972; (52 tuổi); Singapore",,,,,Singapore,,
424,Hwang Kyo-ahn,Person,https://vi.wikipedia.org/wiki/Hwang_Kyo-ahn,Đại học Sungkyunkwan,"15 tháng 4; năm; 1957; (68 tuổi); Seoul; ,; Hàn Quốc",,2,,,,,
426,Hoàng Nhuận Thu,Person,https://vi.wikipedia.org/wiki/Ho%C3%A0ng_Nhu%E1%BA%ADn_Thu,Đại học Công nghệ Thành Đô,"tháng 8, 1963 (62 tuổi); Trường Sa; ,; Hồ Nam",,,,"Giáo sư , Tiến sĩ Kỹ thuật địa chất , Sinh Đạo sư Tiến sĩ",,,
427,Hà Vệ Đông,Person,https://vi.wikipedia.org/wiki/H%C3%A0_V%E1%BB%87_%C4%90%C3%B4ng,Học viện Chỉ huy Lục quân; Đại học Quốc phòng; Trường Đảng Trung ương,"tháng 5, 1957 (68 tuổi); Nam Bình, Phúc Kiến; ,; Trung Quốc",,,,Cử nhân Chính trị; Cử nhân Quốc phòng,Trung Quốc,Sĩ quan Quân đội,
428,I. K. Gujral,Person,https://vi.wikipedia.org/wiki/I._K._Gujral,"Trường D.A.V.; ,; Trường Thương mại Hailey; Đại học Công giáo Forman","4 tháng 12; năm; 1919; [; 1; ]; Jhelum; ,; Tỉnh Punjab; ,; Ấn Độ thuộc Anh; (nay là; Punjab; ,; Pakistan; )",,,"30 tháng 11; năm; 2012; (92 tuổi); Gurgaon; ,; Haryana; ,; Ấn Độ",,,,
429,Hác Bằng,Person,https://vi.wikipedia.org/wiki/H%C3%A1c_B%E1%BA%B1ng,Đại học Công nghiệp Tây Bắc,"tháng 7, 1960 (65 tuổi); Phượng Tường; ,; Bảo Kê; ,; Thiểm Tây; ,; Trung Quốc",,,,Thạc sĩ Kỹ thuật,Trung Quốc,Chính trị gia,
430,Hạ Bảo Long,Person,https://vi.wikipedia.org/wiki/H%E1%BA%A1_B%E1%BA%A3o_Long,Đại học Bắc Kinh,"tháng 12, 1952 (72 tuổi); thành phố; Thiên Tân",,,,,,,
431,Hà Lập Phong,Person,https://vi.wikipedia.org/wiki/H%C3%A0_L%E1%BA%ADp_Phong,Đại học Hạ Môn,"tháng 2, 1955 (70 tuổi); Vĩnh Định; ,; Phúc Kiến; ,; Trung Quốc",,,,Tiến sĩ Kinh tế học,Trung Quốc,Chính trị gia,
432,Hạ Quân Khoa,Person,https://vi.wikipedia.org/wiki/H%E1%BA%A1_Qu%C3%A2n_Khoa,Đại học Công nghệ Quốc phòng Trung Quốc; Đại học Hàng không vũ trụ Bắc Kinh,"tháng 2, 1969 (56 tuổi); Phượng Tường,; Bảo Kê; ,; Thiểm Tây; ,; Trung Quốc",,,,Cử nhân Tên lửa nhiên liệu lỏng; Thạc sĩ Kỹ thuật; Nhà nghiên cứu cấp Giáo sư,Trung Quốc,Chuyên gia Hàng không vũ trụ; Chính trị gia,
434,Hugo Chávez,Person,https://vi.wikipedia.org/wiki/Hugo_Ch%C3%A1vez,Học viện Quân sự Venezuela,"(; 1954-07-28; ); 28 tháng 7 năm 1954; Sabaneta; ,; Alberto Arvelo Torrealba; ,; Barinas; ,; Venezuela",,Rosa Virginia; María Gabriela; Hugo Rafael y Rosinés,"5 tháng 3 năm 2013; (2013-03-05); (58 tuổi); Caracas; , Venezuela (do; Ung thư; )",,,"Quân nhân, Chính trị gia",
435,Ian Brossat,Person,https://vi.wikipedia.org/wiki/Ian_Brossat,École normale supérieure de Lyon,"23 tháng 4, 1980; (45 tuổi); Fontenay-aux-Roses; ,; Pháp",,,,Lycée Henri-IV,Pháp,,
437,Ikeda Hayato,Person,https://vi.wikipedia.org/wiki/Ikeda_Hayato,Đại học Kyoto,"3 tháng 12; năm; 1899; Takehara; ,; Đế quốc Nhật Bản",,,"13 tháng 8; năm; 1965; (65 tuổi); Tokyo; ,; Nhật Bản",,,,
438,Ingvar Carlsson,Person,https://vi.wikipedia.org/wiki/Ingvar_Carlsson,"Đại học Lund; ,; Đại học Northwestern","Gösta Ingvar Carlsson; 9 tháng 11; năm; 1934; (90 tuổi); Borås; ,; Hạt Älvsborg; ,; Thụy Điển",,,,,,,
439,Hạ Vinh,Person,https://vi.wikipedia.org/wiki/H%E1%BA%A1_Vinh,Đại học Chính Pháp; Đại học Công nghệ Sydney; Trường Đảng Trung ương,"tháng 10, 1962 (62–63 tuổi); Lâm Ấp, Đức Châu; ,; Sơn Đông; ,; Trung Quốc",,,,Tiến sĩ Luật học,Trung Quốc,"Luật gia, Chính trị gia",
