src_person_id,dst_person_id,src_person,dst_person
18,37,George W. Bush,Rick Perry
18,29,George W. Bush,Laura Bush
18,17,George W. Bush,George H. W. Bush
18,26,George W. Bush,John Quincy Adams
18,48,George W. Bush,Ronald Reagan
18,35,George W. Bush,John McCain
18,46,George W. Bush,Theodore Roosevelt
18,15,George W. Bush,Donald Trump
18,49,George W. Bush,Joe Biden
19,15,JD Vance,Donald Trump
19,30,JD Vance,Kamala Harris
19,49,JD Vance,Joe Biden
19,31,JD Vance,Mike Pence
19,46,JD Vance,Theodore Roosevelt
19,17,JD Vance,George H. W. Bush
19,6,JD Vance,Dick Cheney
20,10,Hunter Biden,Barack Obama
20,49,Hunter Biden,Joe Biden
20,15,Hunter Biden,Donald Trump
20,3,Hunter Biden,Beau Biden
20,28,Hunter Biden,Jill Biden
21,15,Ivanka Trump,Donald Trump
21,22,Ivanka Trump,Hillary Clinton
22,10,Hillary Clinton,Barack Obama
22,8,Hillary Clinton,Bill Clinton
22,29,Hillary Clinton,Laura Bush
22,15,Hillary Clinton,Donald Trump
22,41,Hillary Clinton,Rudy Giuliani
22,49,Hillary Clinton,Joe Biden
22,53,Hillary Clinton,Dmitry Medvedev
22,34,Hillary Clinton,Michelle Obama
22,28,Hillary Clinton,Jill Biden
22,26,Hillary Clinton,John Quincy Adams
22,30,Hillary Clinton,Kamala Harris
23,48,Jerry Brown,Ronald Reagan
23,30,Jerry Brown,Kamala Harris
23,31,Jerry Brown,Mike Pence
24,9,Joachim Gauck,Angela Merkel
24,2,Joachim Gauck,Christian Wulff
24,13,Joachim Gauck,Frank-Walter Steinmeier
25,41,Michael Bloomberg,Rudy Giuliani
27,40,Maria Ressa,Rodrigo Duterte
27,46,Maria Ressa,Theodore Roosevelt
27,10,Maria Ressa,Barack Obama
28,49,Jill Biden,Joe Biden
28,3,Jill Biden,Beau Biden
28,20,Jill Biden,Hunter Biden
28,34,Jill Biden,Michelle Obama
28,22,Jill Biden,Hillary Clinton
28,29,Jill Biden,Laura Bush
29,18,Laura Bush,George W. Bush
29,22,Laura Bush,Hillary Clinton
29,34,Laura Bush,Michelle Obama
29,28,Laura Bush,Jill Biden
30,49,Kamala Harris,Joe Biden
30,31,Kamala Harris,Mike Pence
30,54,Kamala Harris,J.D. Vance
30,23,Kamala Harris,Jerry Brown
30,11,Kamala Harris,Doug Emhoff
30,15,Kamala Harris,Donald Trump
30,4,Kamala Harris,Brett Kavanaugh
30,10,Kamala Harris,Barack Obama
30,8,Kamala Harris,Bill Clinton
30,22,Kamala Harris,Hillary Clinton
30,34,Kamala Harris,Michelle Obama
30,46,Kamala Harris,Theodore Roosevelt
30,17,Kamala Harris,George H. W. Bush
30,6,Kamala Harris,Dick Cheney
30,19,Kamala Harris,JD Vance
31,15,Mike Pence,Donald Trump
31,49,Mike Pence,Joe Biden
31,30,Mike Pence,Kamala Harris
31,36,Mike Pence,Paul Ryan
31,46,Mike Pence,Theodore Roosevelt
31,17,Mike Pence,George H. W. Bush
31,6,Mike Pence,Dick Cheney
31,19,Mike Pence,JD Vance
32,35,Mitt Romney,John McCain
32,15,Mitt Romney,Donald Trump
33,41,Mark Zuckerberg,Rudy Giuliani
33,18,Mark Zuckerberg,George W. Bush
33,47,Mark Zuckerberg,Vladimir Vladimirovich Putin
33,10,Mark Zuckerberg,Barack Obama
33,9,Mark Zuckerberg,Angela Merkel
33,15,Mark Zuckerberg,Donald Trump
33,27,Mark Zuckerberg,Maria Ressa
33,49,Mark Zuckerberg,Joe Biden
33,30,Mark Zuckerberg,Kamala Harris
34,10,Michelle Obama,Barack Obama
34,29,Michelle Obama,Laura Bush
34,22,Michelle Obama,Hillary Clinton
34,28,Michelle Obama,Jill Biden
34,18,Michelle Obama,George W. Bush
34,15,Michelle Obama,Donald Trump
35,18,John McCain,George W. Bush
35,10,John McCain,Barack Obama
35,48,John McCain,Ronald Reagan
35,17,John McCain,George H. W. Bush
35,8,John McCain,Bill Clinton
35,32,John McCain,Mitt Romney
35,41,John McCain,Rudy Giuliani
35,43,John McCain,Sarah Palin
36,32,Paul Ryan,Mitt Romney
36,43,Paul Ryan,Sarah Palin
36,31,Paul Ryan,Mike Pence
37,15,Rick Perry,Donald Trump
37,18,Rick Perry,George W. Bush
38,9,Philipp Rösler,Angela Merkel
38,12,Philipp Rösler,Guido Westerwelle
38,44,Philipp Rösler,Sigmar Gabriel
38,13,Philipp Rösler,Frank-Walter Steinmeier
38,39,Philipp Rösler,Olaf Scholz
39,13,Olaf Scholz,Frank-Walter Steinmeier
39,9,Olaf Scholz,Angela Merkel
39,44,Olaf Scholz,Sigmar Gabriel
39,45,Olaf Scholz,Wolfgang Schäuble
39,49,Olaf Scholz,Joe Biden
39,16,Olaf Scholz,Helmut Kohl
39,15,Olaf Scholz,Donald Trump
40,15,Rodrigo Duterte,Donald Trump
40,10,Rodrigo Duterte,Barack Obama
41,25,Rudy Giuliani,Michael Bloomberg
41,48,Rudy Giuliani,Ronald Reagan
41,1,Rudy Giuliani,Andrew Giuliani
42,47,Sergey Vadimovich Stepashin,Vladimir Vladimirovich Putin
43,35,Sarah Palin,John McCain
43,6,Sarah Palin,Dick Cheney
43,36,Sarah Palin,Paul Ryan
44,9,Sigmar Gabriel,Angela Merkel
44,13,Sigmar Gabriel,Frank-Walter Steinmeier
44,38,Sigmar Gabriel,Philipp Rösler
44,39,Sigmar Gabriel,Olaf Scholz
44,2,Sigmar Gabriel,Christian Wulff
44,15,Sigmar Gabriel,Donald Trump
44,12,Sigmar Gabriel,Guido Westerwelle
45,9,Wolfgang Schäuble,Angela Merkel
45,39,Wolfgang Schäuble,Olaf Scholz
45,16,Wolfgang Schäuble,Helmut Kohl
46,26,Theodore Roosevelt,John Quincy Adams
46,48,Theodore Roosevelt,Ronald Reagan
46,17,Theodore Roosevelt,George H. W. Bush
46,8,Theodore Roosevelt,Bill Clinton
46,18,Theodore Roosevelt,George W. Bush
46,10,Theodore Roosevelt,Barack Obama
46,15,Theodore Roosevelt,Donald Trump
46,49,Theodore Roosevelt,Joe Biden
46,6,Theodore Roosevelt,Dick Cheney
46,31,Theodore Roosevelt,Mike Pence
46,30,Theodore Roosevelt,Kamala Harris
46,19,Theodore Roosevelt,JD Vance
47,53,Vladimir Vladimirovich Putin,Dmitry Medvedev
47,51,Vladimir Vladimirovich Putin,Boris Yeltsin
