src_id,src_type,dst_id,dst_type,relation
385,Person,516,University,alumni_of
386,Person,775,University,alumni_of
390,Person,521,University,alumni_of
390,Person,742,University,alumni_of
390,Person,775,University,alumni_of
391,Person,480,University,alumni_of
393,Person,430,University,alumni_of
395,Person,446,University,alumni_of
395,Person,481,University,alumni_of
398,Person,500,University,alumni_of
404,Person,35,University,alumni_of
404,Person,748,University,alumni_of
406,Person,505,University,alumni_of
410,Person,775,University,alumni_of
413,Person,782,University,alumni_of
414,Person,842,University,alumni_of
415,Person,35,University,alumni_of
416,Person,764,University,alumni_of
417,Person,79,University,alumni_of
421,Person,449,University,alumni_of
422,Person,842,University,alumni_of
423,Person,516,University,alumni_of
423,Person,632,University,alumni_of
424,Person,754,University,alumni_of
430,Person,416,University,alumni_of
432,Person,253,University,alumni_of
433,Person,744,University,alumni_of
435,Person,344,University,alumni_of
435,Person,346,University,alumni_of
438,Person,598,University,alumni_of
441,Person,548,University,alumni_of
443,Person,23,University,alumni_of
443,Person,125,University,alumni_of
443,Person,433,University,alumni_of
443,Person,668,University,alumni_of
444,Person,548,University,alumni_of
447,Person,775,University,alumni_of
448,Person,152,University,alumni_of
449,Person,834,University,alumni_of
452,Person,719,University,alumni_of
454,Person,30,University,alumni_of
454,Person,518,University,alumni_of
457,Person,764,University,alumni_of
458,Person,366,University,alumni_of
458,Person,480,University,alumni_of
458,Person,708,University,alumni_of
459,Person,548,University,alumni_of
460,Person,30,University,alumni_of
460,Person,53,University,alumni_of
460,Person,516,University,alumni_of
460,Person,518,University,alumni_of
466,Person,379,University,alumni_of
466,Person,753,University,alumni_of
466,Person,842,University,alumni_of
469,Person,466,University,alumni_of
480,Person,26,University,alumni_of
480,Person,35,University,alumni_of
480,Person,484,University,alumni_of
487,Person,581,University,alumni_of
488,Person,264,University,alumni_of
489,Person,23,University,alumni_of
489,Person,433,University,alumni_of
489,Person,516,University,alumni_of
490,Person,494,University,alumni_of
491,Person,398,University,alumni_of
491,Person,842,University,alumni_of
496,Person,581,University,alumni_of
498,Person,344,University,alumni_of
500,Person,565,University,alumni_of
501,Person,664,University,alumni_of
504,Person,35,University,alumni_of
504,Person,392,University,alumni_of
505,Person,35,University,alumni_of
506,Person,804,University,alumni_of
517,Person,743,University,alumni_of
518,Person,650,University,alumni_of
526,Person,516,University,alumni_of
527,Person,508,University,alumni_of
534,Person,35,University,alumni_of
536,Person,89,University,alumni_of
536,Person,281,University,alumni_of
538,Person,842,University,alumni_of
539,Person,516,University,alumni_of
540,Person,290,University,alumni_of
540,Person,399,University,alumni_of
540,Person,408,University,alumni_of
540,Person,411,University,alumni_of
545,Person,708,University,alumni_of
547,Person,741,University,alumni_of
548,Person,62,University,alumni_of
548,Person,73,University,alumni_of
548,Person,311,University,alumni_of
549,Person,516,University,alumni_of
553,Person,516,University,alumni_of
554,Person,35,University,alumni_of
554,Person,460,University,alumni_of
554,Person,522,University,alumni_of
557,Person,742,University,alumni_of
557,Person,805,University,alumni_of
560,Person,516,University,alumni_of
562,Person,516,University,alumni_of
567,Person,664,University,alumni_of
568,Person,808,University,alumni_of
568,Person,812,University,alumni_of
571,Person,30,University,alumni_of
571,Person,518,University,alumni_of
573,Person,108,University,alumni_of
573,Person,773,University,alumni_of
581,Person,397,University,alumni_of
585,Person,397,University,alumni_of
585,Person,479,University,alumni_of
585,Person,505,University,alumni_of
588,Person,678,University,alumni_of
591,Person,73,University,alumni_of
593,Person,508,University,alumni_of
595,Person,516,University,alumni_of
595,Person,552,University,alumni_of
597,Person,358,University,alumni_of
597,Person,614,University,alumni_of
598,Person,35,University,alumni_of
598,Person,745,University,alumni_of
599,Person,661,University,alumni_of
600,Person,288,University,alumni_of
600,Person,365,University,alumni_of
600,Person,370,University,alumni_of
600,Person,605,University,alumni_of
600,Person,609,University,alumni_of
604,Person,775,University,alumni_of
606,Person,834,University,alumni_of
608,Person,508,University,alumni_of
609,Person,775,University,alumni_of
611,Person,56,University,alumni_of
614,Person,35,University,alumni_of
617,Person,775,University,alumni_of
620,Person,703,University,alumni_of
622,Person,712,University,alumni_of
623,Person,712,University,alumni_of
625,Person,775,University,alumni_of
629,Person,440,University,alumni_of
630,Person,670,University,alumni_of
