id,name,label,wiki_url,country
231,Dương Đắc Chí,Person,https://vi.wikipedia.org/wiki/D%C6%B0%C6%A1ng_%C4%90%E1%BA%AFc_Ch%C3%AD,Trung Quốc
232,Dịch Hội Mãn,Person,https://vi.wikipedia.org/wiki/D%E1%BB%8Bch_H%E1%BB%99i_M%C3%A3n,Trung Quốc
239,Doãn Lực,Person,https://vi.wikipedia.org/wiki/Do%C3%A3n_L%E1%BB%B1c,Trung Quốc
242,Doug Ducey,Person,https://vi.wikipedia.org/wiki/Doug_Ducey,Hoa Kỳ
253,Enda Kenny,Person,https://vi.wikipedia.org/wiki/Enda_Kenny,Ireland
258,Eric Holcomb,Person,https://vi.wikipedia.org/wiki/Eric_Holcomb,Hoa Kỳ
261,Ernst Kaltenbrunner,Person,https://vi.wikipedia.org/wiki/Ernst_Kaltenbrunner,Áo
262,Esther Duflo,Person,https://vi.wikipedia.org/wiki/Esther_Duflo,Pháp và Hoa Kỳ
273,Finn E. Kydland,Person,https://vi.wikipedia.org/wiki/Finn_E._Kydland,Na Uy
281,Franco Modigliani,Person,https://vi.wikipedia.org/wiki/Franco_Modigliani,"Italia , Hoa Kỳ"
283,Franz Oppenheimer,Person,https://vi.wikipedia.org/wiki/Franz_Oppenheimer,Đức
285,Franz Schubert,Person,https://vi.wikipedia.org/wiki/Franz_Schubert,"Đế quốc Áo , Đại Công quốc Áo"
290,François Rabelais,Person,https://vi.wikipedia.org/wiki/Fran%C3%A7ois_Rabelais,Pháp
295,Friedrich Hayek,Person,https://vi.wikipedia.org/wiki/Friedrich_Hayek,"Áo , Vương quốc Anh"
300,Furukawa Shuntaro,Person,https://vi.wikipedia.org/wiki/Furukawa_Shuntaro,Nhật Bản
307,Gabriel García Márquez,Person,https://vi.wikipedia.org/wiki/Gabriel_Garc%C3%ADa_M%C3%A1rquez,Colombia
310,George Akerlof,Person,https://vi.wikipedia.org/wiki/George_Akerlof,Hoa Kỳ
311,Gabriel Attal,Person,https://vi.wikipedia.org/wiki/Gabriel_Attal,Pháp
313,George Habash,Person,https://vi.wikipedia.org/wiki/George_Habash,Palestine
320,George Stigler,Person,https://vi.wikipedia.org/wiki/George_Stigler,Hoa Kỳ
326,Gary Becker,Person,https://vi.wikipedia.org/wiki/Gary_Becker,Hoa Kỳ
341,Giuseppe Mazzini,Person,https://vi.wikipedia.org/wiki/Giuseppe_Mazzini,Ý
353,Gordon Brown,Person,https://vi.wikipedia.org/wiki/Gordon_Brown,Anh Quốc
357,Grayson Perry,Person,https://vi.wikipedia.org/wiki/Grayson_Perry,British
362,Gustav Holst,Person,https://vi.wikipedia.org/wiki/Gustav_Holst,"Vương quốc Liên hiệp Anh và Ireland , Vương quốc Liên hiệp Anh và Bắc Ireland"
364,Gérard Debreu,Person,https://vi.wikipedia.org/wiki/G%C3%A9rard_Debreu,Pháp
365,Greg Abbott,Person,https://vi.wikipedia.org/wiki/Greg_Abbott,Hoa Kỳ
366,Gustav Mahler,Person,https://vi.wikipedia.org/wiki/Gustav_Mahler,"Đế quốc Áo , Cisleithania"
367,Gretchen Whitmer,Person,https://vi.wikipedia.org/wiki/Gretchen_Whitmer,Hoa Kỳ
371,H3h3Productions,Person,https://vi.wikipedia.org/wiki/H3h3Productions,người Mĩ (Ethan) người Israel (Hila)
