id,name,label,wiki_url,properties
11,Doug Emhoff,Person,https://vi.wikipedia.org/wiki/Doug_Emhoff,"{""Phó Tổng thống"": ""Kamala Harris"", ""Tiền nhiệm"": [""Karen Pence"", ""(Đệ nhị Phu nhân)""], ""Kế nhiệm"": [""Usha Vance"", ""(Đệ nhị Phu nhân)""], ""Sinh"": [""Douglas Craig Emhoff"", ""13 tháng 10, 1964"", ""(61 tuổi)"", ""Thành phố New York"", "","", ""New York"", "","", ""Hoa Kỳ""], ""Đảng chính trị"": ""Dân chủ"", ""Phối ngẫu"": [""Kerstin Mackin"", ""(cưới 1992⁠–⁠li dị2008)"", ""Kamala Harris"", ""(cưới 2014)""], ""Con cái"": ""2"", ""Cư trú"": ""Số một Đường vòng quanh Đài quan sát"", ""Giáo dục"": [""Đại học Bang California tại Northridge"", ""("", ""BA"", "")"", ""Đại học Nam California"", ""("", ""JD"", "")""]}"
12,Guido Westerwelle,Person,https://vi.wikipedia.org/wiki/Guido_Westerwelle,"{""Thủ tướng"": ""Angela Merkel"", ""Tiền nhiệm"": ""Wolfgang Gerhardt"", ""Kế nhiệm"": ""Birgit Homburger"", ""Khu vực bầu cử"": ""Danh sách FDP"", ""Sinh"": [""("", ""1961-12-27"", "")"", ""27 tháng 12 năm 1961"", ""Bad Honnef"", "","", ""Tây Đức"", ""(nay là Đức)""], ""Mất"": [""18 tháng 3 năm 2016"", ""(2016-03-18)"", ""(54 tuổi)"", ""Cologne"", "", Đức""], ""Nguyên nhân mất"": ""Bệnh bạch cầu"", ""Đảng chính trị"": ""Đảng Dân chủ Tự do"", ""Bạn đời"": ""Michael Mronz"", ""Alma mater"": [""Đại học Bonn"", ""Đại học Hagen""]}"
13,Frank-Walter Steinmeier,Person,https://vi.wikipedia.org/wiki/Frank-Walter_Steinmeier,"{""Thủ tướng"": ""Gerhard Schröder"", ""Tiền nhiệm"": ""Bodo Hombach"", ""Kế nhiệm"": ""Thomas de Maizière"", ""Sinh"": [""5 tháng 1"", ""năm"", ""1956"", ""(69 tuổi)"", ""Detmold"", "","", ""Tây Đức""], ""Đảng chính trị"": ""Đảng Dân chủ Xã hội"", ""Phối ngẫu"": ""Elke Büdenbender (cưới 1995)"", ""Con cái"": ""1"", ""Alma mater"": ""Đại học Giessen"", ""Chữ ký"": """"}"
14,Horst Köhler,Person,https://vi.wikipedia.org/wiki/Horst_K%C3%B6hler,"{""Thủ tướng"": [""Gerhard Schröder"", ""Angela Merkel""], ""Tiền nhiệm"": ""Michel Camdessus"", ""Kế nhiệm"": ""Rodrigo Rato"", ""Sinh"": [""22 tháng 2"", ""năm"", ""1943"", ""Heidenstein"", "","", ""Đức Quốc xã"", ""(nay là Skierbieszów,"", ""Ba Lan"", "")""], ""Mất"": [""1 tháng 2"", ""năm"", ""2025"", ""(81 tuổi)"", ""Berlin"", "","", ""Đức""], ""Đảng chính trị"": ""Liên minh Dân chủ Thiên Chúa giáo"", ""Phối ngẫu"": ""Eva Bohnet"", ""Con cái"": ""2"", ""Alma mater"": ""Đại học Tübingen"", ""Chuyên môn"": ""Nhà kinh tế học"", ""Chữ ký"": """", ""Website"": ""http://www.horstkoehler.de/en/""}"
15,Donald Trump,Person,https://vi.wikipedia.org/wiki/Donald_Trump,"{""Phó Tổng thống"": ""Mike Pence"", ""Tiền nhiệm"": ""Barack Obama"", ""Kế nhiệm"": ""Joe Biden"", ""Sinh"": [""Donald John Trump"", ""14 tháng 6, 1946"", ""(79 tuổi)"", ""Queens"", "","", ""Thành phố New York"", "","", ""Hoa Kỳ""], ""Đảng chính trị"": ""Đảng Cộng hoà (1987–99, 2009–2011, 2012–nay)"", ""Đảng khác"": ""Đảng Dân chủ (đến 1987, 2001–2009) Đảng Cải cách Mỹ (1999–2001) Độc lập (2011–2012)"", ""Chiều cao"": ""1,91 m (6 ft 3 in)"", ""Phối ngẫu"": ""Ivana Zelníčková (cưới 1977–1992) Marla Maples (cưới 1993–1999) Melania Knauss (cưới 2005)"", ""Con cái"": ""Donald Jr. Ivanka Eric Tiffany Barron"", ""Cha mẹ"": ""Fred Mary Anne"", ""Alma mater"": ""Đại học Pennsylvania"", ""Nghề nghiệp"": ""Chính khách doanh nhân nhân vật truyền thông"", ""Tặng thưởng"": ""Danh sách danh hiệu và giải thưởng của Donald Trump"", ""Tôn giáo"": ""Giáo hội Trưởng lão"", ""Chữ ký"": """", ""Website"": ""Campaign website Presidential library White House archives""}"
16,Helmut Kohl,Person,https://vi.wikipedia.org/wiki/Helmut_Kohl,"{""Tổng thống"": [""Karl Carstens"", ""Richard von Weizsäcker"", ""Roman Herzog""], ""Phó Thủ tướng"": [""Hans-Dietrich Genscher"", ""Jürgen Möllemann"", ""Klaus Kinkel""], ""Tiền nhiệm"": ""Rainer Barzel"", ""Kế nhiệm"": ""Wolfgang Schäuble"", ""Sinh"": [""("", ""1930-04-03"", "")"", ""3 tháng 4 năm 1930"", ""Ludwigshafen"", "","", ""Đức""], ""Mất"": [""16 tháng 6 năm 2017"", ""(2017-06-16)"", ""(87 tuổi)"", ""Oggersheim"", "", Đức"", ""["", ""1"", ""]""], ""Đảng chính trị"": ""CDU"", ""Phối ngẫu"": [""Hannelore Kohl"", ""(mất 2001)"", ""Maike Richter"", ""(từ năm 2008)""], ""Con cái"": ""2"", ""Alma mater"": ""Đại học Heidelberg"", ""Chữ ký"": """"}"
17,George H. W. Bush,Person,https://vi.wikipedia.org/wiki/George_H._W._Bush,"{""Phó Tổng thống"": ""Dan Quayle"", ""Tiền nhiệm"": ""John Dowdy"", ""Kế nhiệm"": ""William Reynolds Archer Jr."", ""Tổng thống"": ""Richard Nixon"", ""Phó Giám đốc"": [""Vernon A. Walters"", ""E. Henry Knoche""], ""Sinh"": [""George H. W. Bush"", ""("", ""1924-06-12"", "")"", ""12 tháng 6, 1924"", ""Milton"", "","", ""Massachusetts"", "","", ""Hoa Kỳ""], ""Mất"": [""30 tháng 11, 2018"", ""(2018-11-30)"", ""(94 tuổi)"", ""Houston"", "","", ""Texas"", "", Hoa Kỳ""], ""Nơi an nghỉ"": ""Thư viện Tổng thống George Bush"", ""Đảng chính trị"": ""Cộng hòa"", ""Phối ngẫu"": [""Barbara Pierce"", ""(cưới"", ""1945"", ""⁠–⁠mất"", ""2018"", "")""], ""Quan hệ"": ""Xem Gia tộc Bush"", ""Con cái"": [""George W. Bush"", ""Pauline Robinson Bush"", ""Jeb Bush"", ""Neil Bush"", ""Marvin Bush"", ""Dorothy Bush Koch""], ""Alma mater"": ""Đại học Yale"", ""Tặng thưởng"": [""Distinguished Flying Cross"", "","", ""Air Medal"", ""(3),"", ""Presidential Unit Citation""], ""Chữ ký"": """", ""Website"": ""Thư viện Tổng thống"", ""Thuộc"": ""Hoa Kỳ"", ""Phục vụ"": ""Hải quân Hoa Kỳ"", ""Năm tại ngũ"": ""1942–1945"", ""Cấp bậc"": ""Trung úy ( Hải Quân )"", ""Đơn vị"": ""Nhà cung cấp nhanh công tác"", ""Tham chiến"": ""Chiến tranh thế giới thứ hai""}"
18,George W. Bush,Person,https://vi.wikipedia.org/wiki/George_W._Bush,"{""Phó Tổng thống"": ""Dick Cheney"", ""Tiền nhiệm"": ""Ann Richards"", ""Kế nhiệm"": ""Rick Perry"", ""Phó Thống đốc"": [""Bob Bullock"", ""Rick Perry""], ""Sinh"": [""6 tháng 7, 1946"", ""(79 tuổi)"", ""New Haven"", "","", ""Connecticut"", "","", ""Hoa Kỳ""], ""Đảng chính trị"": ""Cộng hòa"", ""Phối ngẫu"": [""Laura Welch"", ""(kh. 1977)""], ""Quan hệ"": ""Xem Gia tộc Bush"", ""Con cái"": [""Barbara"", ""Jenna""], ""Cha mẹ"": [""George H. W. Bush"", ""Barbara Bush""], ""Alma mater"": [""Đại học Yale"", ""Đại học Harvard""], ""Tặng thưởng"": ""Air Force Pilot's Badge , Outstanding Unit Award , National Defense Service Medal , Small Arms Expert Marksmanship Ribbon . [ 1 ]"", ""Tôn giáo"": [""Anh giáo"", ""(1946-1977)"", ""Giám Lý"", ""(1977-nay)""], ""Chữ ký"": """", ""Website"": [""Bush Presidential Library"", ""Bush Presidential Center"", ""The White House"", ""Archived""], ""Biệt danh"": ""Dubya GWB"", ""Thuộc"": ""Hoa Kỳ"", ""Phục vụ"": [""Lực lượng Phòng không Quốc gia Texas"", ""Lực lượng Phòng không Quốc gia Alabama""], ""Năm tại ngũ"": ""1968–1974"", ""Cấp bậc"": ""Trung uý"", ""Đơn vị"": [""Phi đội Trinh sát 147"", ""Phi đội Tiêm kích 187""]}"
19,JD Vance,Person,https://vi.wikipedia.org/wiki/JD_Vance,"{""Tổng thống"": ""Donald Trump"", ""Tiền nhiệm"": ""Rob Portman"", ""Kế nhiệm"": ""Jon Husted"", ""Sinh"": [""James Donald Bowman"", ""2 tháng 8, 1984"", ""(41 tuổi)"", ""Middletown, Ohio"", "", Hoa Kỳ""], ""Đảng chính trị"": ""Cộng hòa"", ""Phối ngẫu"": ""Usha Chilukuri (cưới 2014)"", ""Con cái"": ""3"", ""Alma mater"": ""Đại học Bang Ohio ( BA ) Đại học Yale ( JD )"", ""Nghề nghiệp"": ""Chính trị gia tác giả nhà đầu tư mạo hiểm luật sư"", ""Tặng thưởng"": ""Huy chương thành tựu của Hải quân và Thủy quân Lục chiến Huân chương hạnh kiểm tốt của Thủy quân Lục chiến Huy chương phục vụ cuộc chiến chống khủng bố toàn cầu Huy chương chiến dịch Iraq Dải triển khai dịch vụ trên biển của Hải quân và Thủy quân Lục chiến"", ""Chữ ký"": """", ""Website"": ""Website Thượng viện"", ""Phục vụ"": ""Thủy quân lục chiến Hoa Kỳ"", ""Năm tại ngũ"": ""2003–2007"", ""Cấp bậc"": ""Hạ sĩ"", ""Đơn vị"": ""Phi đoàn máy bay thủy quân lục chiến số 2"", ""Tham chiến"": ""Chiến tranh Iraq""}"
20,Hunter Biden,Person,https://vi.wikipedia.org/wiki/Hunter_Biden,"{""Tổng thống"": [""George W. Bush"", ""Barack Obama""], ""Kế nhiệm"": ""Jeffrey Moreland"", ""Sinh"": [""Robert Hunter Biden"", ""4 tháng 2, 1970"", ""(55 tuổi)"", ""Wilmington"", "","", ""Delaware"", "", Hoa Kỳ""], ""Đảng chính trị"": ""Dân chủ"", ""Phối ngẫu"": [""Kathleen Buhle"", ""(cưới 1993⁠–⁠"", ""ld."", ""2017)"", ""Melissa Cohen (cưới 2019)""], ""Bạn đời"": ""Hallie Olivere (2016–2019)"", ""Con cái"": ""3"", ""Người thân"": [""Joe Biden"", ""(cha)"", ""Xem"", ""gia đình Biden""], ""Giáo dục"": [""Đại học Georgetown"", ""("", ""BA"", "")"", ""Đại học Yale"", ""("", ""JD"", "")""], ""Thuộc"": ""Hoa Kỳ"", ""Phục vụ"": ""United States Navy"", ""Năm tại ngũ"": ""2013–2014"", ""Cấp bậc"": ""Thiếu úy"", ""Đơn vị"": ""Quân dự bị Hải quân Hoa Kỳ""}"
21,Ivanka Trump,Person,https://vi.wikipedia.org/wiki/Ivanka_Trump,"{""Tổng thống"": ""Donald Trump"", ""Tiền nhiệm"": ""Thành lập chức vụ"", ""Kế nhiệm"": [""Mike Donilon"", ""Cedric Richmond""], ""Sinh"": [""Ivana Marie Trump"", ""30 tháng 10, 1981"", ""(44 tuổi)"", ""["", ""1"", ""]"", ""Manhattan"", "","", ""thành phố New York""], ""Đảng chính trị"": ""Cộng hòa (2018–nay)"", ""Đảng khác"": ""Dân chủ (trước 2018)"", ""Phối ngẫu"": ""Jared Kushner (cưới 2009 )"", ""Con cái"": ""3"", ""Cha mẹ"": [""Donald Trump"", ""Ivana Trump""], ""Người thân"": [""Xem"", ""dòng họ Trump"", ""Karlie Kloss"", ""(em dâu)"", ""Joshua Kushner"", ""(em rể)""], ""Giáo dục"": ""Đại học Pennsylvania ( BSc )""}"
22,Hillary Clinton,Person,https://vi.wikipedia.org/wiki/Hillary_Clinton,"{""Tổng thống"": ""Bill Clinton"", ""Tiền nhiệm"": ""Barbara Pryor"", ""Kế nhiệm"": ""Gay Daniels White"", ""Thống đốc"": ""Bill Clinton"", ""Sinh"": [""Hillary Diane Rodham"", ""26 tháng 10, 1947"", ""(78 tuổi)"", ""Chicago"", "","", ""Illinois"", "","", ""Hoa Kỳ""], ""Đảng chính trị"": ""Dân chủ (Từ 1968)"", ""Đảng khác"": ""Cộng hòa (Trước 1968)"", ""Phối ngẫu"": ""Bill Clinton (cưới 1975 )"", ""Con cái"": ""Chelsea"", ""Cư trú"": [""Chappaqua"", "","", ""New York"", "","", ""Hoa Kỳ""], ""Alma mater"": [""Wellesley College"", ""Đại học Yale""], ""Chữ ký"": """", ""Website"": ""hillaryclinton .com /about /bio""}"
23,Jerry Brown,Person,https://vi.wikipedia.org/wiki/Jerry_Brown,"{""Phó Thống đốc"": [""Mervyn Dymally"", ""Mike Curb""], ""Tiền nhiệm"": ""Frank M. Jordan"", ""Kế nhiệm"": ""March Fong Eu (Dư Giang Nguyệt Quế)"", ""Thống đốc"": ""Ronald Reagan"", ""Sinh"": [""Edmund Gerald Brown Jr."", ""7 tháng 4, 1938"", ""(87 tuổi)"", ""San Francisco"", "","", ""California"", "", U.S.""], ""Đảng chính trị"": ""Democratic"", ""Phối ngẫu"": ""Anne Gust (cưới 2005 )"", ""Cha mẹ"": [""Pat Brown"", ""Bernice Layne Brown""], ""Người thân"": ""Kathleen Brown (sister)"", ""Cư trú"": ""Colusa County , California, U.S."", ""Giáo dục"": [""Santa Clara University"", ""Sacred Heart Novitiate"", ""University of California, Berkeley"", ""("", ""BA"", "")"", ""Yale University"", ""("", ""LLB"", "")""], ""Chữ ký"": """"}"
24,Joachim Gauck,Person,https://vi.wikipedia.org/wiki/Joachim_Gauck,"{""Thủ tướng"": ""Angela Merkel"", ""Tiền nhiệm"": ""Chức vụ thành lập"", ""Kế nhiệm"": ""Marianne Birthler"", ""Sinh"": [""24 tháng 1, 1940"", ""(85 tuổi)"", ""Rostock"", "","", ""Đức""], ""Đảng chính trị"": [""Diễn đàn mới"", ""/"", ""Liên minh 90"", ""(1989–1990)"", ""Không đảng phái"", ""(1990–nay)""], ""Phối ngẫu"": ""Gerhild Gauck (1959–1991)"", ""Bạn đời"": ""Daniela Schadt (2000–nay)"", ""Con cái"": [""Christian"", ""Martin"", ""Gesine"", ""Katharina""], ""Alma mater"": ""Đại học Rostock [ 1 ]"", ""Chuyên môn"": ""Mục sư"", ""Chữ ký"": """"}"
25,Michael Bloomberg,Person,https://vi.wikipedia.org/wiki/Michael_Bloomberg,"{""Tiền nhiệm"": ""Thành lập chức vụ"", ""Kế nhiệm"": ""Lex Fenwick"", ""Sinh"": [""Michael Rubens Bloomberg"", ""14 tháng 2, 1942"", ""(83 tuổi)"", ""Boston, Massachusetts, U.S.""], ""Đảng chính trị"": [""Đảng Dân chủ"", ""(đến 2001)"", ""Đảng Cộng hòa"", ""(2001–2007)"", ""Độc lập"", ""(2007–hiện nay)""], ""Bạn đời"": ""Diana Taylor"", ""Cư trú"": ""Upper East Side , Manhattan , New York City, New York, U.S."", ""Alma mater"": [""Đại học Johns Hopkins"", ""("", ""Đại học"", "")"", ""Đại học Harvard"", ""("", ""MBA"", "")"", ""the""], ""Nghề nghiệp"": ""Doanh nhân, chính trị gia, nhà hoạt động nhân đạo"", ""Net worth"": ""55 tỷ đô la Mỹ (2019) [ 2 ]"", ""Chữ ký"": """", ""Website"": [""Official NYC Mayoral website"", ""MikeBloomberg"", "".com""]}"
26,John Quincy Adams,Person,https://vi.wikipedia.org/wiki/John_Quincy_Adams,"{""Phó Tổng thống"": ""John C. Calhoun"", ""Tiền nhiệm"": ""William Short"", ""Kế nhiệm"": ""William Vans Murray"", ""Tổng thống"": ""George Washington"", ""Sinh"": [""11 tháng 7"", ""năm"", ""1767"", ""Braintree"", "","", ""Vịnh Massachusetts"", "","", ""Châu Mỹ thuộc Anh"", ""(nay là"", ""Quincy, Massachusetts"", "", Hoa Kỳ)""], ""Mất"": [""23 tháng 2"", ""năm"", ""1848"", ""(80 tuổi)"", ""Washington, D.C."", "","", ""Hoa Kỳ""], ""Nơi an nghỉ"": ""United First Parish Church"", ""Đảng chính trị"": [""Đảng Liên bang"", ""(1792–1808)"", ""Đảng Dân chủ-Cộng hoà"", ""(1808–1830)"", ""Đảng Cộng hoà Quốc gia"", ""(1830–1833)"", ""Phong trào chống thợ hồ"", ""(1833–1838)"", ""Đảng Whig"", ""(1838–1848)""], ""Phối ngẫu"": ""Louisa Johnson"", ""Con cái"": ""4, bao gồm George , John , Charles"", ""Alma mater"": ""Đại học Harvard"", ""Chữ ký"": """"}"
27,Maria Ressa,Person,https://vi.wikipedia.org/wiki/Maria_Ressa,"{""Sinh"": [""2 tháng 10, 1963"", ""(62 tuổi)"", ""Manila"", "","", ""Philippines""], ""Học vấn"": [""Đại học Princeton"", ""("", ""cử nhân"", "")"", ""Đại học Philippines Diliman""], ""Nghề nghiệp"": ""Phóng viên, tác gia"", ""Website chính thức"": [""Rappler"", ""mariaressa"", "".com""]}"
28,Jill Biden,Person,https://vi.wikipedia.org/wiki/Jill_Biden,"{""Tổng thống"": ""Joe Biden"", ""Tiền nhiệm"": ""Lynne Cheney"", ""Kế nhiệm"": ""Karen Pence"", ""Phó Tổng thống"": ""Joe Biden"", ""Sinh"": [""Jill Tracy Jacobs"", ""3 tháng 6, 1951"", ""(74 tuổi)"", ""Hammonton, New Jersey"", "", Hoa Kỳ""], ""Đảng chính trị"": ""Dân chủ"", ""Phối ngẫu"": [""Bill Stevenson"", ""(cưới 1970⁠–⁠divorce1975)"", ""Joe Biden"", ""(cưới 1977)""], ""Con cái"": ""Ashley Biden Beau Biden Hunter Biden"", ""Giáo dục"": [""Đại học Delaware"", ""("", ""BA"", "","", ""EdD"", "")"", ""Đại Học West Chester"", ""("", ""MEd"", "")"", ""Đại học Villanova"", ""("", ""MA"", "")""], ""Chữ ký"": """"}"
