id,name,label,wiki_url,career
183,Chris Sununu,Person,https://vi.wikipedia.org/wiki/Chris_Sununu,Chính trị gia
187,Clement Attlee,Person,https://vi.wikipedia.org/wiki/Clement_Attlee,Chính trị gia; Luật sư; Giảng viên
190,D. H. Lawrence,Person,https://vi.wikipedia.org/wiki/D._H._Lawrence,"Tiểu thuyết gia, Nhà thơ"
193,Dan Brown,Person,https://vi.wikipedia.org/wiki/Dan_Brown,Tiểu thuyết gia
198,Corazon Aquino,Person,https://vi.wikipedia.org/wiki/Corazon_Aquino,Chính trị gia
199,Chu Ân Lai,Person,https://vi.wikipedia.org/wiki/Chu_%C3%82n_Lai,"Chính trị gia , chỉ huy quân sự , nhà cách mạng , nhà ngoại giao"
201,David Halberstam,Person,https://vi.wikipedia.org/wiki/David_Halberstam,"nhà sử học , nhà văn , nhà báo"
202,Daniel McKee,Person,https://vi.wikipedia.org/wiki/Daniel_McKee,"Doanh nhân, Chính trị gia"
208,David Ige,Person,https://vi.wikipedia.org/wiki/David_Ige,"Kỹ sư, Chính trị gia"
214,Diosdado Macapagal,Person,https://vi.wikipedia.org/wiki/Diosdado_Macapagal,Luật sư; Giáo sư
217,Dominique de Villepin,Person,https://vi.wikipedia.org/wiki/Dominique_de_Villepin,Nhà ngoại giao; Công chức viên; Luật sư; Tác giả
220,Doug Burgum,Person,https://vi.wikipedia.org/wiki/Doug_Burgum,Chính trị gia
222,Dr. Seuss,Person,https://vi.wikipedia.org/wiki/Dr._Seuss,Nhà văn thiếu nhi họa sĩ truyện tranh chính trị họa sĩ minh họa nhà thơ họa sĩ diễn hoạt nhà làm phim
223,Droupadi Murmu,Person,https://vi.wikipedia.org/wiki/Droupadi_Murmu,Chính trị gia
224,Dương Chấn Vũ,Person,https://vi.wikipedia.org/wiki/D%C6%B0%C6%A1ng_Ch%E1%BA%A5n_V%C5%A9,"Nhà báo, chính trị gia"
226,Dries van Agt,Person,https://vi.wikipedia.org/wiki/Dries_van_Agt,Chính trị gia; Nhà ngoại giao; Công chức; Luật gia; Luật sư; Thẩm phán; Nhà nghiên cứu; Giám đốc; Lobbyist; Nhà hoạt động chính trị; Độc giả; Giáo sư
231,Dương Đắc Chí,Person,https://vi.wikipedia.org/wiki/D%C6%B0%C6%A1ng_%C4%90%E1%BA%AFc_Ch%C3%AD,Quân nhân
232,Dịch Hội Mãn,Person,https://vi.wikipedia.org/wiki/D%E1%BB%8Bch_H%E1%BB%99i_M%C3%A3n,Chuyên gia Kinh tế; Chính trị gia
236,Earle Page,Person,https://vi.wikipedia.org/wiki/Earle_Page,Nhà bệnh lý học; (; Bệnh viện Hoàng gia Prince Alfred; )
239,Doãn Lực,Person,https://vi.wikipedia.org/wiki/Do%C3%A3n_L%E1%BB%B1c,Chính trị gia
242,Doug Ducey,Person,https://vi.wikipedia.org/wiki/Doug_Ducey,"Doanh nhân, Chính trị gia"
244,Elpidio Quirino,Person,https://vi.wikipedia.org/wiki/Elpidio_Quirino,Luật sư
258,Eric Holcomb,Person,https://vi.wikipedia.org/wiki/Eric_Holcomb,Chính trị gia
260,Evelyn Waugh,Person,https://vi.wikipedia.org/wiki/Evelyn_Waugh,Nhà văn
268,Elon Musk,Person,https://vi.wikipedia.org/wiki/Elon_Musk,"Nhà sáng lập, CEO, và kỹ sư trưởng của SpaceX CEO và kiến trúc sư sản phẩm của Tesla, Inc. Chủ sở hữu, CTO và chủ tịch điều hành của X (trước là Twitter) Nhà sáng lập The Boring Company , X Corp. , và xAI Nhà đồng sáng lập Neuralink , OpenAI , Zip2 , và X.com (bộ phận của PayPal ) Chủ tịch của Musk Foundation"
277,Fidel Ramos,Person,https://vi.wikipedia.org/wiki/Fidel_Ramos,Binh sĩ; Kỹ sư xây dựng
278,F. Scott Fitzgerald,Person,https://vi.wikipedia.org/wiki/F._Scott_Fitzgerald,"Nhà văn, người viết tiểu luận"
279,Franjo Tuđman,Person,https://vi.wikipedia.org/wiki/Franjo_Tu%C4%91man,Chính trị gia; Nhà sử học; Sĩ quan Quân đội
