src_person_id,dst_university_id,src_person,dst_university
552,753,John Kasich,Đại học Tiểu bang Ohio
554,35,John Carney,Cử nhân Nghệ thuật
554,522,John Carney,Đại học Dartmouth
554,460,John Carney,Đại học Delaware
557,805,John Lipsky,Đại học Wesleyan
558,683,John Kenneth Galbraith,Đại học Princeton
558,399,John Kenneth Galbraith,"Đại học California, Berkeley"
558,783,John Kenneth Galbraith,Đại học Toronto
562,571,John Quincy Adams,Đại học Leiden
563,755,John O. Brennan,Đại học Texas tại Austin
565,460,Joe Biden,Đại học Delaware
565,35,Joe Biden,Cử nhân Nghệ thuật
565,73,Joe Biden,Học viện Hải quân Hoa Kỳ
565,690,Joe Biden,Đại học Pennsylvania
565,645,Joe Biden,Đại học Notre Dame
567,664,John Turner,Đại học Paris
568,808,John Tyler,Đại học William & Mary
570,475,Joko Widodo,Đại học Gadjah Mada
571,518,Jon Ossoff,Đại học Georgetown
571,187,Jon Ossoff,Trường Kinh tế Luân Đôn
571,208,Jon Ossoff,Trường Dịch vụ Đối ngoại
571,224,Jon Ossoff,Trường Kinh tế và Khoa học Chính trị Luân Đôn
572,683,Jonathan Dayton,Đại học Princeton
573,773,Joseph Boakai,Đại học Tiểu bang Kansas
577,397,Joseph Schumpeter,Đại học Bonn
577,490,Joseph Schumpeter,Đại học Graz
577,798,Joseph Schumpeter,Đại học Viên
580,683,Joshua Angrist,Đại học Princeton
581,397,Josef Mengele,Đại học Bonn
581,589,Josef Mengele,Đại học Ludwig Maximilian München
581,492,Josef Mengele,Đại học Goethe Frankfurt
581,567,Josef Mengele,Đại học Leipzig
582,518,Josh Shapiro,Đại học Georgetown
584,477,José Manuel Barroso,Đại học Geneva
585,397,Joseph Goebbels,Đại học Bonn
585,479,Joseph Goebbels,Đại học Freiburg
585,505,Joseph Goebbels,Đại học Heidelberg
585,589,Joseph Goebbels,Đại học Ludwig Maximilian München
587,440,Joseph Stiglitz,Đại học Columbia
590,635,Julie Payette,Đại học McGill
590,783,Julie Payette,Đại học Toronto
591,73,John McCain,Học viện Hải quân Hoa Kỳ
591,840,John McCain,Đại học Virginia
591,440,John McCain,Đại học Columbia
592,741,Jørn Utzon,Đại học Sydney
593,508,Juho Kusti Paasikivi,Đại học Helsinki
595,552,Juan Manuel Santos,Đại học Kansas
595,224,Juan Manuel Santos,Trường Kinh tế và Khoa học Chính trị Luân Đôn
596,187,K. R. Narayanan,Trường Kinh tế Luân Đôn
597,358,Julia Gillard,Đại học Adelaide
597,614,Julia Gillard,Đại học Melbourne
598,745,Kaja Kallas,Đại học Tartu
598,35,Kaja Kallas,Cử nhân Nghệ thuật
599,661,Juha Sipilä,Đại học Oulu
600,609,Karolos Papoulias,Đại học Milano
600,365,Karolos Papoulias,Đại học Athena
