title,infobox_json
Đại học New York,"{""Loại"": ""Tư thục [ 1 ]"", ""Khẩu hiệu"": [""Perstare et praestare"", ""("", ""tiếng Latin"", "")"", ""(Bảo tồn và phát huy)""], ""Thành lập"": ""1831 [ 1 ]"", ""Hiệu trưởng"": ""John Sexton (sắp thôi việc) [ 9 ] Andrew D. Hamilton (đã phân công, sẽ tiếp quản từ tháng 1 năm 2016) [ 10 ]"", ""Nhân viên"": ""2.242 [ 4 ] [ 5 ]"", ""Giảng viên"": ""9.489 [ 6 ]"", ""Số Sinh viên"": ""57.245 [ 12 ]"", ""Dạng thời khóa biểu"": ""Học kỳ [ 1 ]"", ""Khuôn viên"": ""Đô thị : 230 mẫu Anh (0,93 km 2 ) (khuôn viên tại Manhattan) [ 14 ]"", ""Màu"": ""Màu tím mayfair [ 15 ]"", ""Linh vật"": ""Linh miêu đuôi cộc"", ""Biệt danh"": ""Tím NYU"", ""Tài trợ"": ""3,5 tỷ USD (2014) [ 2 ]"", ""Kinh phí"": ""7,4 tỷ USD (2014-2015) [ 3 ]"", ""Báo trường"": ""Washington Square News"", ""Website"": ""www .nyu .edu"", ""Phó hiệu trưởng"": ""David W. McLaughlin [ 11 ]"", ""Sinh viên đại học"": ""24.985 [ 13 ]"", ""Sinh viên sau đại học"": ""24.289 [ 13 ]""}"
Đại học Giessen,{}
Đại học Columbia,"{""Tên cũ"": [""King's College"", ""(1754–1784)"", ""Columbia College"", ""(1784–1896)""], ""Khẩu hiệu"": ""In lumine Tuo videbimus lumen ( tiếng Latinh )"", ""Khẩu hiệu trong Tiếng Anh"": ""\""In Thy light shall we see light\"" [ 2 ]"", ""Loại hình"": ""Đại học nghiên cứu tư thục"", ""Thành lập"": ""25 tháng 5 năm 1754 ; 271 năm trước ( 1754-05-25 )"", ""Công nhận"": ""MSCHE"", ""Liên kết học tập"": ""AAU NAICU URA Space-grant"", ""Tài trợ"": ""14,8 tỷ đô la Mỹ (2024) [ 3 ]"", ""Kinh phí"": ""6,6 tỷ đô la Mỹ (2024) [ 4 ]"", ""Viện trưởng"": ""Claire Shipman (quyền)"", ""Phó hiệu trưởng"": ""Angela Olinto"", ""Giảng viên"": ""4,628 [ 5 ]"", ""Sinh viên"": ""36,649 [ 6 ]"", ""Sinh viên đại học"": ""9,761 [ 6 ]"", ""Sinh viên sau đại học"": ""26,888 [ 6 ]"", ""Vị trí"": [""Thành phố New York"", "","", ""New York"", "","", ""Hoa Kỳ"", ""40°48′27″B"", ""73°57′43″T"", ""﻿ / ﻿"", ""40,8075°B 73,96194°T"", ""﻿ /"", ""40.80750; -73.96194""], ""Khuôn viên"": ""Đô thị , 299 mẫu Anh (1,21 km 2 )"", ""Tờ báo"": ""Columbia Daily Spectator"", ""Màu"": [""Columbia Blue và White"", ""["", ""7"", ""]""], ""Biệt danh"": ""Lions"", ""Liên kết thể thao"": ""NCAA Division I FCS – Ivy League EARC IRA EAWRC"", ""Linh vật"": ""Roar-ee the Lion"", ""Website"": ""columbia .edu""}"
Đại học Idaho,{}
Đại học Howard,"{""Loại"": ""Tư nhân"", ""Khẩu hiệu"": ""Veritas et Utilitas ( Truth and Service )"", ""Thành lập"": ""tháng 3 năm 1867"", ""Hiệu trưởng"": ""H. Patrick Swygert"", ""Nhân viên"": ""2.120"", ""Khuôn viên"": ""Đô thị"", ""Linh vật"": ""Bison"", ""Tài trợ"": ""424 triệu USD [ 1 ]"", ""Athletics"": ""NCAA Division 1\n16 sports teams"", ""Website"": ""www.howard.edu"", ""Sinh viên đại học"": ""12.000"", ""Sinh viên sau đại học"": ""3.617""}"
Đại học Heidelberg,"{""Khẩu hiệu"": ""Semper apertus ( tiếng Latinh ) [ 4 ]"", ""Khẩu hiệu trong Tiếng Anh"": ""Always open"", ""Loại hình"": ""Đại học công lập"", ""Thành lập"": ""18 tháng 10 năm 1386 ; 639 năm trước ( 1386-10-18 )"", ""Kinh phí"": ""764,9 triệu euro (2018) [ 5 ]"", ""Chưởng ấn"": ""Holger Schroeter"", ""Viện trưởng"": ""Frauke Melchior"", ""Nhân viên quản lý"": ""8,397 [ 6 ]"", ""Sinh viên"": ""28,959 (SS2024) [ 7 ]"", ""Sinh viên đại học"": ""10,458 [ 7 ]"", ""Sinh viên sau đại học"": ""13,410 [ 7 ]"", ""Nghiên cứu sinh"": ""4,114 [ 7 ]"", ""Vị trí"": [""Heidelberg"", "","", ""Baden-Württemberg"", "","", ""Đức""], ""Khuôn viên"": ""Đô thị / Làng đại học và ngoại ô"", ""Màu"": [""Sandstone red and gold""], ""Liên kết"": ""German Universities Excellence Initiative , LERU , Coimbra Group , U15 , Hiệp hội đại học châu Âu"", ""Website"": ""www .uni-heidelberg .de /en""}"
Đại học Freiburg,"{""Loại"": ""Đại học công lập"", ""Khẩu hiệu"": ""Die Wahrheit wird euch frei machen (\""The Truth Will Set You free\"")"", ""Thành lập"": ""1457"", ""Hiệu trưởng"": ""Prof. Dr. Hans-Jochen Schiewer"", ""Nhân viên"": ""4.578 cán bộ khoa học (gồm cả trung tâm y tế)"", ""Số Sinh viên"": ""21.622"", ""Màu"": ""Xanh da trời, đỏ, trắng"", ""Tài trợ"": ""268,3 triệu EUR p.a., [ 1 ] Medical Center ca. 560 mio EUR p.a. [ 2 ]"", ""Website"": ""www.uni-freiburg.de"", ""Thành viên"": ""EUA , IFPU , EUCOR LERU""}"
Đại học Leipzig,"{""Loại"": ""công"", ""Khẩu hiệu"": ""Aus Tradition Grenzen überschreiten"", ""Thành lập"": ""1409"", ""Hiệu trưởng"": ""Beate Schücking"", ""Nhân viên"": ""3.246 (2009)"", ""Số Sinh viên"": ""28.125 (mùa Đông 2011/2012)"", ""Khuôn viên"": ""thành thị"", ""Website"": ""www.uni-leipzig.de/""}"
Đại học Johns Hopkins,"{""Khẩu hiệu"": ""Veritas vos liberabit ( tiếng Latinh )"", ""Khẩu hiệu trong Tiếng Anh"": ""\"" The truth will set you free \"""", ""Loại hình"": ""Đại học nghiên cứu tư thục"", ""Thành lập"": ""22 tháng 2 năm 1876 ; 149 năm trước ( 1876-02-22 )"", ""Công nhận"": ""MSCHE"", ""Liên kết học tập"": ""Hiệp hội Viện Đại học Mỹ COFHE CUWMA NAICU ORAU UARC URA Space-grant"", ""Tài trợ"": ""13,06 tỷ đô la Mỹ ( FY 2024) [ 3 ]"", ""Viện trưởng"": ""Ronald J. Daniels"", ""Phó hiệu trưởng"": ""Ray Jayawardhana"", ""Tổng nhân viên"": ""27,300 [ 4 ]"", ""Sinh viên"": ""30,549 (2022)"", ""Sinh viên đại học"": ""5,318 (2022) [ 5 ] :19"", ""Sinh viên sau đại học"": ""25,231 (2022) [ 5 ] :19"", ""Vị trí"": [""Baltimore"", "","", ""Maryland"", "","", ""Hoa Kỳ"", ""39°19′44″B"", ""76°37′13″T"", ""﻿ / ﻿"", ""39,32889°B 76,62028°T"", ""﻿ /"", ""39.32889; -76.62028""], ""Khuôn viên"": ""Thành phố lớn [ 6 ] , 140 mẫu Anh (57 ha)"", ""Other campuses"": ""Aberdeen California Columbia Elkridge Laurel Owings Mills Rockville St. Petersburg Washington Bologna Nam Kinh Singapore"", ""Tờ báo"": ""The Johns Hopkins News-Letter"", ""Màu"": [""Heritage blue and spirit blue"", ""["", ""7"", ""]""], ""Biệt danh"": ""Blue Jays"", ""Liên kết thể thao"": ""NCAA Division III - Centennial Big Ten MAWPC"", ""Linh vật"": ""Blue Jay"", ""Website"": ""Bản mẫu:Official url""}"
Đại học Georgetown,"{""Tọa độ"": ""38°54′26″B 77°4′22″T ﻿ / ﻿ 38,90722°B 77,07278°T ﻿ / 38.90722; -77.07278"", ""Loại"": ""Đại học nghiên cứu phi lợi nhuận tư thục thành lập bởi hiến chương quốc hội"", ""Khẩu hiệu"": [""Utraque Unum"", ""(từ hai thành một)""], ""Thành lập"": ""23 tháng 1, 1789 [ 1 ]"", ""Sáng lập"": ""John Carroll"", ""Hiệu trưởng"": ""John J. DeGioia"", ""Nhân viên"": ""1.500 [ 4 ]"", ""Giảng viên"": [""Tổng cộng: 2.610"", ""["", ""3"", ""]"", ""1,389 toàn thời gian"", ""1,196 bán thời gian""], ""Số Sinh viên"": [""Tổng cộng: 19.005"", ""7.463 đại học"", ""11.542 sau đại học""], ""Khuôn viên"": ""nội đô , rộng 104 mẫu Anh (42,1 ha) [ 5 ]"", ""Màu"": [""Xanh biển"", ""Xám"", ""["", ""6"", ""]""], ""Biệt danh"": ""Hoyas"", ""Tài trợ"": ""2,59 tỷ USD (2021) [ 2 ]"", ""Website"": ""georgetown .edu""}"
