title,infobox_json
Đại học Tübingen,"{""Loại"": ""Công lập"", ""Khẩu hiệu"": [""Attempto!"", ""(I venture / I dare)""], ""Thành lập"": ""1477"", ""Hiệu trưởng"": ""Bernd Engler"", ""Nhân viên"": ""~ 10.000 (bao gồm đội ngũ cán bộ bệnh viện)"", ""Số Sinh viên"": ""24.473 (11/2009) [ 1 ]"", ""Khuôn viên"": ""Thành thị"", ""Website"": ""www .uni-tuebingen .de /en""}"
Đại học Tổng hợp Sankt-Peterburg,"{""Loại"": ""công lập"", ""Khẩu hiệu"": [""Hic tuta perennat"", ""("", ""Here we stay in safety"", "")""], ""Thành lập"": ""1724 (1819)"", ""Hiệu trưởng"": ""Nikolai M. Kropachev"", ""Nhân viên"": ""11,854"", ""Số Sinh viên"": ""32.400"", ""Khuôn viên"": ""Thành thị và nông thôn"", ""Website"": ""www.спбгу.рф"", ""Sinh viên đại học"": ""26.872 [ 1 ]"", ""Sinh viên sau đại học"": ""5.566""}"
Đại học Texas tại Austin,"{""Tên cũ"": [""Đại học Texas"", ""(1881–1967)"", ""["", ""2"", ""]""], ""Khẩu hiệu"": ""Disciplina Praesidium Civitatis ( tiếng LatinH )"", ""Khẩu hiệu trong Tiếng Anh"": ""\""Education is the Guardian of the State\"" [ a ] [ 3 ]"", ""Loại hình"": ""Đại học nghiên cứu công lập"", ""Thành lập"": ""15 tháng 9 năm 1883 ; 142 năm trước ( 1883-09-15 )"", ""Tổ chức mẹ"": ""Hệ thống đại học Texas"", ""Công nhận"": ""SACS"", ""Liên kết học tập"": ""Hiệp hội Viện Đại học Mỹ ORAU UARC URA Space-grant"", ""Tài trợ"": [""19.72 tỷ đô la Mỹ ("", ""năm tài chính"", ""2023)"", ""(chỉ Đại học Texas tại Austin)"", ""["", ""4"", ""]"", ""47.47 tỷ đô la Mỹ (năm tài chính 2024)"", ""(toàn hệ thống đại học Texas)"", ""["", ""5"", ""]""], ""Kinh phí"": ""3.97 tỷ đô la Mỹ (năm tài chính 2024) [ 4 ]"", ""Viện trưởng"": ""Jim Davis (tạm thời) [ 6 ]"", ""Phó hiệu trưởng"": ""David Vanden Bout (tạm thời) [ 7 ]"", ""Giảng viên"": ""4,022 (kỳ thu năm 2022) [ 4 ]"", ""Nhân viên quản lý"": ""2,135 (kỳ thu năm 2023) [ 4 ]"", ""Tổng nhân viên"": ""27,754 (kỳ thu năm 2023) [ 4 ]"", ""Sinh viên"": ""53,082 (kỳ thu năm 2023) [ 4 ]"", ""Sinh viên đại học"": ""42,444 (kỳ thu năm 2023) [ 4 ]"", ""Sinh viên sau đại học"": ""10,638 (kỳ thu năm 2023) [ 4 ]"", ""Vị trí"": [""Austin"", "","", ""Texas"", "","", ""Hoa Kỳ"", ""30°17′06″B"", ""97°44′06″T"", ""﻿ / ﻿"", ""30,285°B 97,735°T"", ""﻿ /"", ""30.285; -97.735""], ""Khuôn viên"": ""Đô thị [ 8 ] , 431 mẫu Anh (1,74 km 2 )"", ""Tờ báo"": ""The Daily Texan"", ""Màu"": [""Burnt Orange và White"", ""["", ""9"", ""]""], ""Biệt danh"": ""Longhorns"", ""Liên kết thể thao"": ""NCAA Division I FBS - SEC [ 10 ]"", ""Linh vật"": ""Bevo Hook 'em"", ""Website"": ""utexas .edu""}"
Đại học Y khoa Hannover,{}
Đại học Oxford,"{""Loại"": ""Công lập"", ""Khẩu hiệu"": [""Dominus illuminatio mea"", ""("", ""Latinh"", "")"", ""Chúa là ánh sáng của tôi"", ""["", ""1"", ""]""], ""Thành lập"": ""Không rõ, giảng dạy từ cuối thế kỉ 11 (1096) [ 2 ]"", ""Hiệu trưởng"": ""Lord Chris Patten"", ""Số Sinh viên"": ""22.116 [ 5 ]"", ""Màu"": ""Xanh Oxford [ 6 ]"", ""Tài trợ"": ""3,772 tỉ bảng Anh (kể cả các trường thành viên) [ 3 ] [ 4 ]"", ""Website"": ""ox.ac.uk"", ""Sinh viên đại học"": ""11.772 [ 5 ]"", ""Sinh viên sau đại học"": ""9.850 [ 5 ]""}"
Đại học Stanford,"{""Khẩu hiệu"": ""tiếng Đức : Die Luft der Freiheit weht [ 1 ]"", ""Khẩu hiệu trong Tiếng Anh"": ""Ngọn gió của tự do thổi qua (The wind of freedom blows) [ 1 ]"", ""Loại hình"": ""Đại học nghiên cứu đại học tư thục tư thục"", ""Thành lập"": ""1891 ( 1891 ) [ 2 ] [ 3 ]"", ""Sáng lập"": ""Leland và Jane Stanford"", ""Tài trợ"": ""26,5 tỷ USD (2018) [ 4 ]"", ""Viện trưởng"": ""Marc Tessier-Lavigne"", ""Phó hiệu trưởng"": ""Persis Drell"", ""Giảng viên"": ""2.219 [ 5 ]"", ""Nhân viên quản lý"": ""12.508 [ 6 ] excluding SHC"", ""Sinh viên"": ""16.520"", ""Sinh viên đại học"": ""7.083 [ 5 ]"", ""Sinh viên sau đại học"": ""9.437 [ 5 ]"", ""Vị trí"": [""Stanford"", "","", ""California"", "","", ""Hoa Kỳ""], ""Khuôn viên"": ""Suburban , 8.180 mẫu Anh (12,8 dặm vuông Anh; 33,1 km 2 ) [ 5 ]"", ""Học kỳ"": ""Quarter"", ""Màu"": [""Đỏ thắm và trắng"", ""["", ""8"", ""]""], ""Biệt danh"": ""Cardinal"", ""Liên kết thể thao"": [""NCAA Division I FBS"", ""Pac-12"", ""(primary)"", ""IRA"", ""PCCSC"", ""MPSF""], ""Linh vật"": ""Không [ 9 ]"", ""Website"": ""www .stanford .edu""}"
Đại học Wyoming,"{""Tọa độ"": ""41°18′47″B 105°34′53″T ﻿ / ﻿ 41,31306°B 105,58139°T ﻿ / 41.31306; -105.58139"", ""Loại"": [""Đại học công lập"", ""Flagship university"", ""Land-grant university""], ""Thành lập"": ""1886"", ""Hiệu trưởng"": ""Dr. Dick McGinity [ 3 ]"", ""Nhân viên"": ""1,846 [ 2 ]"", ""Giảng viên"": ""1,151 [ 2 ]"", ""Số Sinh viên"": ""13,992 [ 4 ]"", ""Khuôn viên"": ""Vùng tiểu đô thị Hoa Kỳ"", ""Màu"": ""Nâu và Vàng"", ""Linh vật"": [""Cowboy Joe"", ""Pistol Pete""], ""Biệt danh"": ""Wyoming Cowboys and Cowgirls"", ""Tài trợ"": ""$337.5 triệu (2012) [ 1 ]"", ""Website"": ""uwyo .edu"", ""Thành viên"": ""Association of Public and Land-grant Universities""}"
Đại học Villanova,"{""Tên cũ"": ""Học viện Thánh Augustinô (1811–) Trường Villanova Dòng Thánh Augustinô (1842–1953)"", ""Khẩu hiệu"": ""Veritas, Unitas, Caritas ( tiếng Latinh )"", ""Khẩu hiệu trong Tiếng Anh"": ""\""Truth, Unity, Love\"""", ""Loại hình"": ""Đại học nghiên cứu tư thục"", ""Thành lập"": ""1842 ; 183 năm trước ( 1842 )"", ""Sáng lập"": ""Dòng Thánh Augustinô"", ""Tôn giáo"": ""Công giáo ( Dòng Thánh Augustinô )"", ""Liên kết học tập"": ""ACCU ASEA NAICU PCRC Space-grant"", ""Tài trợ"": ""1,31 tỷ đô la Mỹ (2024) [ 1 ]"", ""Viện trưởng"": ""Peter M. Donohue"", ""Sinh viên đại học"": ""6,791"", ""Sinh viên sau đại học"": ""3,108"", ""Vị trí"": [""Villanova"", "","", ""Pennsylvania"", "","", ""Hoa Kỳ"", ""40°02′16″B"", ""75°20′15″T"", ""﻿ / ﻿"", ""40,03771°B 75,33755°T"", ""﻿ /"", ""40.03771; -75.33755""], ""Khuôn viên"": ""Ngoại ô [ 2 ] , 408 mẫu Anh (165 ha)"", ""Khuôn viên khác"": ""Radnor"", ""Tờ báo"": ""The Villanovan"", ""Màu"": [""Xanh và trắng"", ""["", ""3"", ""]""], ""Biệt danh"": ""Wildcats"", ""Liên kết thể thao"": ""NCAA Division I – Big East Big 5 CAA Football"", ""Linh vật"": [""Will D. Cat (hiện tại)"", ""Count Villan (former)"", ""["", ""4"", ""]""], ""Website"": ""villanova .edu""}"
Đại học Miami (Florida),"{""Khẩu hiệu"": ""Magna est veritas ( Latin )"", ""Khẩu hiệu trong Tiếng Anh"": ""\""Sự thật vĩ đại\"""", ""Loại hình"": ""Trường đại học tư thục trường nghiên cứu"", ""Thành lập"": [""8 tháng 4 năm 1925"", "";"", ""100 năm trước"", ""("", ""1925-04-08"", "")""], ""Công nhận"": ""SACSCOC và 24 tổ chức khác [ 1 ]"", ""Liên kết học tập"": ""AAU ICUF NAICU [ 2 ] ORAU Sea-grant Space-grant"", ""Tài trợ"": ""$1.37 tỷ (2023) [ 3 ]"", ""Kinh phí"": ""$5.2 tỷ (2024) [ 4 ]"", ""Viện trưởng"": ""Joe Echevarria"", ""Phó hiệu trưởng"": ""Guillermo Prado"", ""Giảng viên"": ""3,513 (mùa thu 2023) [ 4 ]"", ""Nhân viên quản lý"": ""15,491 (mùa thu 2023) [ 4 ]"", ""Sinh viên"": ""19,593 (mùa thu 2023) [ 4 ]"", ""Sinh viên đại học"": ""12,570 (mùa thu 2023) [ 4 ]"", ""Sinh viên sau đại học"": ""6,710 (mùa thu 2023) [ 4 ]"", ""Vị trí"": [""Coral Gables"", ""-"", ""Miami"", "","", ""Florida"", "","", ""Hoa Kỳ"", ""25°43′18″B"", ""80°16′45″T"", ""﻿ / ﻿"", ""25,7216°B 80,2793°T"", ""﻿ /"", ""25.7216; -80.2793""], ""Khuôn viên"": ""Thành phố nhỏ [ 6 ] , 453 mẫu Anh (1,83 km 2 ) (tổng cộng) [ 5 ]"", ""Báo chí"": ""The Miami Hurricane"", ""Màu"": [""Cam, trắng và xanh lá cây"", ""["", ""7"", ""]""], ""Biệt danh"": ""Bão Miami"", ""Liên kết thể thao"": ""NCAA Division I FBS – ACC"", ""Linh vật"": ""Sebastian the Ibis"", ""Website"": ""miami .edu""}"
Đại học Yale,"{""Loại"": ""tư thục"", ""Khẩu hiệu"": [""אורים ותמים ("", ""tiếng Hebrew"", "") ("", ""Urim"", ""và"", ""Thummim"", "")"", ""Lux et veritas"", ""("", ""tiếng Latin"", "")"", ""(Ánh sáng và Chân lý)""], ""Thành lập"": ""năm 1701"", ""Hiệu trưởng"": ""Peter Salovey [ 2 ]"", ""Giảng viên"": ""3 619 [ 3 ]"", ""Số Sinh viên"": ""11 732"", ""Khuôn viên"": ""Nội thị, 837 mẫu Anh (339 ha) kể cả Sân Golf Yale"", ""Màu"": ""Yale Blue [ 7 ]"", ""Biệt danh"": ""Bulldogs, Elis, Yalies [ 4 ] [ 5 ] [ 6 ]"", ""Tài trợ"": ""19,345 tỉ USD (2012) [ 1 ]"", ""Website"": ""yale.edu"", ""Sinh viên đại học"": ""5 414"", ""Sinh viên sau đại học"": ""6 318""}"
