id,name,label,wiki_url,1981–1984,1984–1985,1985–1986,1986–1987,1987,1987–1988,1987–2003,1988–1992,1992–1995,1995–2000,2000,2000–2001,2001–2003,2013–2015,2013–2018,2013–2019,2015–2019,2018–2019,2019,2019 đến nay,2019–2020,2020 đến nay,2020–2021,2022 đến nay,Alma mater,An nghỉ,An táng,Anh chị em,Bang vụ khanh,Biệt danh,Bí thư,Bí thư Thành ủy,Bí thư Tỉnh ủy,Bí thư thứ nhấtBan Bí thư,Bí thư Đảng ủy Bộ,Bính âm Hán ngữ,Bút danh,Bạn đời,Bảo trợ,Bổ nhiệm,Bổ nhiệm bởi,Bộ trưởng,Bộ trưởng Quốc phòng,Cha,Cha mẹ,Chief Minister,Chief Ministers,Chief Whip,Chiều cao,Chosŏn'gŭl,Chuyên môn,Chuyển tự,Chánh án,Chân phước,Chỉ huy,Chịu ảnh hưởng của,Chồng,Chủ nhiệm,Chủ tịch,Chủ tịch Chính phủ Quốc dân,Chủ tịch Hạ viện,Chủ tịch Hội đồng,Chủ tịch Hội đồng Nhân dân,Chủ tịch Mặt trận,Chủ tịch Quân ủy,Chủ tịch Quốc hội,Chủ tịch Thượng viện,Chủ tịch nước,Chủ tịch Đảng,Chủ tịch Ủy ban,Chủ tịch(Thủ tướng),Chủ đề,Chức bộ trưởng,Chức bộ trưởng1908–1929,Chức bộ trưởng1939–1952,Chức nghị sĩ,Chức quan,Chức vị,Chức vụ cao cấp,Chức vụ khác,Chức vụ quan trọng khác,Chữ ký,Con cái,Các chức khác,Các chức vụ chính phủ,Các chức vụ khác,Các nghiên cứu sinh nổi tiếng,Các nút Play,Các sinh viên nổi tiếng,"Cán bộ điều hành,PEC",Có tác phẩm trong,Công dân,Công nhận,Công trình tiêu biểu,Công việc trước đó,Cùng với,Cư trú,Cấp bậc,Cấp phó,Cố vấn Nhà nước,Cố vấn nhà nước,Danh hiệu,Deputy,Dân tộc,Dạng thời khóa biểu,First Deputy,Führer,Führer/Tổng thống,General Secretary,Gia quyến,Gia tộc,Gia đình,Giai đoạn sáng tác,Giáo dục,Giáo hội,Giáo phận,Giáo tỉnh,Giải thưởng,Giải thưởng nổi bật,Giảng viên,Giản thể,Giới tính,Hancha,Hangul,Hanja,Head,Head of Government,Hiragana,Hiệu trưởng,Hoàng tộc,Hoàng đế,Hán-Việt,Hãng đĩa,Hôn nhân,Hạng,Hậu duệ,Hết nhiệm,Hệ phái,Họ hàng,Học kỳ,Học sinh,Học vấn,Học vị,Hợp tác với,IPA,Julie Payette,Junior ministerial offices,Kanji,Katakana,Khu bầu cử,Khu vực,Khu vực bầu cử,Khuôn viên,Khẩu hiệu,Khẩu hiệu trong Tiếng Anh,Kế nhiệm,Latinh hóa,Latinh hóa Yale,Linh vật,Liên kết học tập,Liên kết thể thao,Location,Loại,Loại giọng,Loại hình,Luận án,Lãnh tụ Tối cao,Lãnh tụ tối cao,Lãnh đạo,Lĩnh vực,Lương bổng,Lượt đăng ký,Lễ kính,McCune–Reischauer,Ministry,Muhammad Yunus,Màu,Mãn nhiệm,Mất,Mẹ,National Chair,Net worth,Nghiên cứu sinh,Nghề nghiệp,Nghỉ hưu,Nghị phó,Nguyên nhân,Nguyên nhân mất,Nguyên quán,Ngành,Ngành phụ,Ngày an táng,Ngày mất,Ngày sinh,Ngôn ngữ,Người bảo trợ,Người hướng dẫn luận án tiến sĩ,Người phối ngẫu,Người thân,Người tình,Nhiếp chính,Nhiệm kỳ,Nhà tuyển dụng,Nhân viên,Nhân viên quản lý,Nhạc cụ,Năm,Năm hoạt động,Năm tại ngũ,Năm tại ngũ,Nơi an nghỉ,Nơi an táng,Nơi công tác,Nơi cư ngụ,Nơi cư trú,Nơi mất,Nơi sinh,Nơi ở,Nổi tiếng vì,Nổi tiếng vì,Nội các,Nữ hoàng,Nữ hoàng/Vua,Nữ vương,POJtiếng Mân Tuyền Chương,Phiên âm,Phong thánh,Phát ngôn nhân,Phê phán,Phó Bí thư,Phó Chủ nhiệm,Phó Chủ tịch,Phó Chủ tịch nước,Phó Giám đốc,Phó Hiệu trưởng thứ nhất,Phó Thị trường,Phó Thị trưởng,Phó Thống đốc,Phó Thủ tướng,Phó Thủ tướng thứ nhất,Phó Thủ tướng Đức,Phó Trưởng ban,Phó Tư lệnh kiêm Tham mưu trưởng,Phó Tổng Bí thư,Phó Tổng Giám đốc,Phó Tổng Tham mưu trưởng,Phó Tổng lý,Phó Tổng thống,Phó Tổng thống thứ hai,Phó Tổng thống thứ nhất Zimbabwe,Phó chủ nhiệm,Phó chức,Phó hiệu trưởng,Phó thị trưởng,Phó thống đốc,Phó thủ tướng,Phó tổng thống,Phó Ủy viên trưởng,Phù hiệu,Phù hiệu sứ mệnh,Phối ngẫu,Phồn thể,Phụ tá Tổng trưởngĐổng lý Văn phòng,Phục vụ,Positions,Quan hệ,Quan thầy của,Quan tâm chính,Quyền Tổng Tham mưu trưởng,Quân chủ,Quân chủng,Quê quán,Quốc trưởng,Quốc tịch,Quốc vương,Romaja quốc ngữ,Rōmaji,Rửa tội,Secretary-General,Sinh,Sinh viên,Sinh viên nổi bật,Sinh viên sau đại học,Sinh viên đại học,Sáng lập,Số Sinh viên,Số phiếu,Số quân chủng,Sứ mệnh,Taoiseach,Tham chiến,Thiên hoàng,Thuộc,Thành lập,Thành viên của,Thành viên của hội đồng,Thánh hiệu,Thân mẫu,Thân phụ,Thăng Hồng y,Thư ký đảng,Thường trực Ban Bí thư,Thầy giáo,Thể loại,Thị trưởng,Thống đốc,Thời gian trong không gian,Thời kỳ,Thụ phong,Thụ phong Linh mục,Thủ hiến,Thủ tướng,Thứ trưởng,Thứ trưởng (6),Tiếng Trung,Tiền lương,Tiền nhiệm,Toàn quyền,Trang web,Trang web chính thức,Trào lưu,Trường học,Trường lớp,Trường phái,Trường theo học,Trưởng ban,Trữ quân,Tuyên khấn,Tuyển chọn,Tài sản,Tài trợ,Tác phẩm,Tác phẩm nổi bật,Tác phẩm đáng chú ý,Tác phẩm nổi bật,Tánaiste,Tâi-lô,Tên bản ngữ,Tên chính thức,Tên khai sinh,Tên khác,Tên đầy đủ,Tình trạng kết hôn,Tòa,Tôn giáo,Tư cách công dân,Tư lệnh Hành quân,Tư tưởng nổi bật,Tại vị,Tấn phong,Tấn phong Giám mục,Tặng thưởng,Tặng thưởng dân sự,Tặng thưởng quân sự,Tỉ lệ,Tổ chức,Tổng Bí thư,Tổng Giám đốc,Tổng Tham mưu trưởng,Tổng Thanh tra,Tổng Thư ký,Tổng Tư lệnh,Tổng cộng,Tổng giám đốc,Tổng lý,Tổng lý Quốc vụ viên,Tổng lý Quốc vụ viện,Tổng lượt xem,Tổng thư ký,Tổng thống,Tổng tư lệnh quân đội,Tổng-Thư ký,Tờ báo,Tựu nhiệm,Vai diễn,Vice President,Vinh thăng Hồng y,Viện trưởng,Viện trưởng Hành chính viện,Việt bính,Vua,Vua/Nữ hoàng,Vùng,Văn phòng Bộ,Văn phòng Quốc hội,Vương tộc,Vị trí,Vợ,Vợ/chồng,Wade–Giles,Website,Whip,nhậm chức cùng,Ý tưởng tiêu biểu,Đào tạo,Đóng góp,Đăng quang,Đơn vị,Đương nhiệm,Đại biểu Quốc hội,Đại diện,Đại sứ,Đảng chính trị,Đảng khác,Đảng phái chính trị,Đặc khu trưởng,Đề cử,Đề cử bởi,Đền chính,Đệ nhất Tổng tài,Đối tượng chính,Đồng Thủ tướng,Đồng chủ tịch,Đồng tại nhiệm,Đồng tại vị,Đứng đầu,Ảnh hưởng bởi,Ảnh hưởng tới,Ủy viên trưởng,Ủy viên trưởng Nhân Đại
357,Grayson Perry,Person,https://vi.wikipedia.org/wiki/Grayson_Perry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charles Saatchi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Tate, Phòng triển lãm Quốc gia Victoria, Bảo tàng Nghệ thuật Hiện đại , Bảo tàng Victoria và Albert , Bảo tàng Stedelijk Amsterdam , Bonnefanten Museum, Design Museum Den Bosch, Print Collection, Museum Boijmans Van Beuningen",,,,,,,,,,,,,người Vương quốc Liên hiệp Anh và Bắc Ireland,,,,,,,,,,,,,,Turner Prize,,,,nam,,,,,,,,,,,,Philippa Perry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fine art,,,,,,,,,,,,,,,,,,,,,,,,"24 tháng 3, 1960 (65 tuổi)",,,,,,,,,,,,,,,,,,,,,,,"Chelmsford , Essex , United Kingdom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,British,,,,,,,,,,,,,,,,,,,,,Học viện Nghệ thuật Hoàng gia Anh,,,,,,,,,nghệ thuật tượng hình,,,,,,,,,,,,,,,,,nghệ thuật đương đại,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Đại học Portsmouth, Trường ngữ pháp King Edward VI, Chelmsford, Cao đẳng Braintree",,,,,,,,,,,,,,,,,,,,,,,,,
358,Grzegorz Schetyna,Person,https://vi.wikipedia.org/wiki/Grzegorz_Schetyna,,,,,,,,,,,,,,,,,,,,,,,,,Đại học Wrocław,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jerzy Miller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kalina Rowińska-Schetyna,,,,,,,,,,,,,,,,,,,"Grzegorz Juliusz Schetyna; 18 tháng 2; năm; 1963; (54 tuổi); Opole; ,; Cộng hòa Nhân dân Ba Lan",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Donald Tusk,,,,,Władysław Stasiak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bronisław Komorowski,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cương lĩnh Dân sự,Đại hội Dân chủ Tự do; (1991–1994); Liên minh Tự do; (1994–2001),,,,,,,,,,,,,,,,
359,Gro Harlem Brundtland,Person,https://vi.wikipedia.org/wiki/Gro_Harlem_Brundtland,,,,,,,,,,,,,,,,,,,,,,,,,Đại học Oslo Đại học Harvard,,,,,,,,,,,,,,,,,,,,Gudmund Harlem Inga Margareta Elisabet Brynolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jørgen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rolf Arthur Hansen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Arne Olav Brundtland,,,,,,,,,,,,,,,,,,,"Gro Harlem Brundtland; 20 tháng 4, 1939; (86 tuổi); Bærum; ,; Akershus; ,; Na Uy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trygve Bratteli; Odvar Nordli,,,,,Tor Halvorsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kofi Annan,,,,,,,,,,,,,,,,,,,,Olav V,,,,,,,,,,,,,,,,,,,,,,Công Đảng,,,,,,,,,,,,,,,,,
360,Gulzarilal Nanda,Person,https://vi.wikipedia.org/wiki/Gulzarilal_Nanda,,,,,,,,,,,,,,,,,,,,,,,,,Đại học Allahabad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hai con trai và một con gái,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yashwantrao Chavan,,,,,,,,,,,,,,,,,,,,,,,"15 tháng 1; năm; 1998; (99 tuổi); Ahmedabad; ,; Gujarat; ,; Ấn Độ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lakshmi,,,,,,,,,,,,,,,,,,,"4 tháng 7; năm; 1898; Sialkot; ,; Punjab; ,; Ấn Độ thuộc Anh; (nay là; Punjab; ,; Pakistan; )",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jawaharlal Nehru; Lal Bahadur Shastri; Indira Gandhi,,,,,Lal Bahadur Shastri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sarvepalli Radhakrishnan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Đảng Quốc đại,,,,,,,,,,,,,,,,,
361,Guido Westerwelle,Person,https://vi.wikipedia.org/wiki/Guido_Westerwelle,,,,,,,,,,,,,,,,,,,,,,,,,Đại học Bonn; Đại học Hagen,,,,,,,,,,,,,Michael Mronz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Danh sách FDP,,,,Birgit Homburger,,,,,,,,,,,,,,,,,,,,,,,"18 tháng 3 năm 2016; (2016-03-18); (54 tuổi); Cologne; , Đức",,,,,,,,,Bệnh bạch cầu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(; 1961-12-27; ); 27 tháng 12 năm 1961; Bad Honnef; ,; Tây Đức; (nay là Đức)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Angela Merkel,,,,,Wolfgang Gerhardt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Đảng Dân chủ Tự do,,,,,,,,,,,,,,,,,
362,Gustav Holst,Person,https://vi.wikipedia.org/wiki/Gustav_Holst,,,,,,,,,,,,,,,,,,,,,,,,,,Nhà thờ Chichester,,Ernest Cossart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Imogen Holst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Huy chương vàng Hiệp hội Philharmonic Hoàng gia,,,,nam,,,,,,,,,,,,,,,,,,,"Jane M. Joseph, Donald Pond",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"nhà soạn nhạc , nhà soạn nhạc kịch, giáo viên âm nhạc",,,suy tim,,,,,,"25 tháng 5, 1934","21 tháng 9, 1874",,,,,,,,,,,,trombone,,1904 – 1934,,,,,,,,Luân Đôn,Cheltenham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Vương quốc Liên hiệp Anh và Ireland , Vương quốc Liên hiệp Anh và Bắc Ireland",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Charles Villiers Stanford,"nhạc cổ điển , opera",,,,,,,,,,,,,,,,,,,,,,,,,,,,"The Planets , In the Bleak Midwinter",,,,,,,,Gustavus Theodore von Holst,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Đại học London, Cao đẳng Âm nhạc Hoàng gia, Pate's Grammar School",,,,,,,,,,,,,,,,,,,,,,,,,
363,Guadalupe Victoria,Person,https://vi.wikipedia.org/wiki/Guadalupe_Victoria,,,,,,,,,,,,,,,,,,,,,,,,,Đại học San Ildefonso,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vicente Guerrero,,,,,,,,,,,,,,,,,,,,,,,"21 tháng 3; năm; 1843; (56 tuổi); San Carlos Fortress; ,; Perote, Veracruz; ,; Mexico",,,,,Luật sư; Sĩ quan (; tướng; ),,,,,,,,,,,,,,,,,,,,,,,,,,,Cột độc lập,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nicolás Bravo,,,,,,,,,,,,,María Antonia Bretón,,,,,,,,,,,,,,,,,,,"José Miguel Ramón Adaucto Fernández y Félix; 29 tháng 9; năm; 1786; Tamazula; ,; Nueva Vizcaya; ,; Đế quốc Tây Ban Nha",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chính phủ lâm thời México,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Không,,,,,,,,,,,,,,,,,
364,Gérard Debreu,Person,https://vi.wikipedia.org/wiki/G%C3%A9rard_Debreu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Léon Walras; Henri Cartan; Maurice Allais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giải Nobel Kinh tế (1983),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toán kinh tế,,,,,,,,,31 tháng 12 năm 2004; (2004-12-31); (83 tuổi); Paris,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Đại học California, Berkeley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pháp,,,,,,(; 1921-07-04; ); 4 tháng 7 năm 1921; Calais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kinh tế học Walras,"Đại học California, Berkeley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lý thuyết cân bằng tổng thể; thỏa dụng; phương pháp tô pô; tích phân; tập giá trị tương ứng,,,,,,,,,,,,,,,,,,,,,,Jacques Drèze; Stephen Smale,,
365,Greg Abbott,Person,https://vi.wikipedia.org/wiki/Greg_Abbott,,,,,,,,,,,,,,,,,,,,,,,,,Đại học Texas tại Austin; (BBA); Đại học Vanderbilt; (JD),,,,,,,,,,,,,,,,,,,,,,,,,,,,Thomas R. Phillips,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Audrey Abbott,,,,,,,,,,,,,,,,,,,,,Người Mỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Cử nhân Quản trị kinh doanh, Tiến sĩ Luật",,,,,,,,,,,,,,Xavier Rodriguez,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luật gia; Chính trị gia,,,,,,,,,,,,,,,,,,2 tháng 1 năm 1996 – 6 tháng 6 năm 2001,,,,,,,,,,,,,,,,Trụ sở Chính phủ Texas,,,,,,,,,,,,,,,,,,,,Dan Patrick,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hoa Kỳ,,,,,,"tháng 11, 1957 (67 tuổi); Wichita Falls, Texas; ,; Hoa Kỳ",,,,,,,,,,,,,,,,,,,,,,,,,,Rick Perry,,,,,,,,,,,Jack Hightower,,,,,,,,,,,,,,,,,,,,,,,,,,,,Công giáo La Mã,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Texas,Cecilia Phalen (từ 1981),,,Texas Goverment,,,,,,,,,,,,Đảng Cộng hòa,,,,,,,,,,,,,,,,,
366,Gustav Mahler,Person,https://vi.wikipedia.org/wiki/Gustav_Mahler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bernhard Mahler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Anna Mahler, Maria Anna Mahler",,,,,,,,,,,,,,,,,,,,,người Do Thái,,,,,,,,,,,,,,,,,,nam,,,,,,,,,,,,Alma Mahler,,,,,,,"Anna von Mildenburg, Klaus Pringsheim",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Marie Herrmann,,,,"nhạc trưởng , nhà soạn nhạc , nhà soạn nhạc cổ điển, người chỉ huy dàn nhạc",,,viêm nội tâm mạc,,,,,"20 tháng 5, 1911","18 tháng 5, 1911","7 tháng 7, 1860",,,,,,,,,,,,,,,,,,Nghĩa trang Grinning,,,,Viên,Kaliště,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Đế quốc Áo , Cisleithania",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"nhạc cổ điển , giao hưởng , nhạc thính phòng",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Symphony No. 1 , Giao hưởng số 8 , Giao hưởng số 2 , Symphony No. 5 , Symphony No. 9",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Đại học Viên , Đại học Âm nhạc và Nghệ thuật biểu diễn Vienna",,,,,,,,,,,,,,,,,,,,,,,,,
367,Gretchen Whitmer,Person,https://vi.wikipedia.org/wiki/Gretchen_Whitmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gary Shrewsbury (ly dị); Marc P. Mallory (cưới 2011),,Rick Johnson; Craig DeRoche,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Đại học bang Michigan ( BA , JD )",,,,,,,,,,,,,,Mark Meadows,,,,,,,,,,,,,,,,,,,,,,,,,,,,Luật sư Chính trị gia,,,,,,,,,,,,,,,,,,1 tháng 1 năm 2001 – 21 tháng 3 năm 2006,,,,,,,,,,,,,,,,Trụ sở Chính phủ Michigan,,,,,,,,,,,,,,,,,,,,Garlin Gilchrist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hoa Kỳ,,,,,,"23 tháng 8, 1971; (54 tuổi); Lansing, Michigan; ,; Hoa Kỳ",,,,,,,,,,,,,,,,,,,,,,,,,,Jennifer Granholm; Rick Snyder,,,,,,,,,,,Laura Baird,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Khu 70 (2001–2003); Khu 69 (2003–2006),,,,Trang web của chính phủ,,,,,,,,,,,,Đảng Dân chủ,,,,,,,,,,,,,,,,,
368,Habib Bourguiba,Person,https://vi.wikipedia.org/wiki/Habib_Bourguiba,,,,,,,,,,,,,,,,,,,,,,,,,Đại học Paris,,,,,,,,,,,,,,,,,,,Ali Bourguiba,,,,,,,Luật sư,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jean Habib Bourguiba; Hajer Bourguiba; (con nuôi),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jallouli Fares,,,,,,,,,,,,,,,,,,,,,,,"6 tháng 4; năm; 2000; (96 tuổi); Monastit; ,; Tunisia",Fattouma Khefacha,,,,Chính trị gia,,,,,,,,,,,,,,,M'hamed Bourguiba; Mahmoud Bourguiba,,,,,,,,,,,,"Lăng Bourguiba; Monastir, Tunisia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mathilde Lorrain; (1927–1961); Wassila Ben Ammar; (12 tháng 4 năm 1962 –11 tháng 8 năm 1986),,,,,,,,,,,,,,,,,,,"Habib Ibn Ali Bourguiba; 3 tháng 8; năm; 1903; Monastir; ,; Tunisia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bahi Ladgham; Hédi Nouira; Mohammed Mzali; Rachid Sfar; Zine El Abidine Ben Ali,,,,,Chức vụ thành lập,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Muhammad VIII,,,,,,,,,,www .bourguiba .com,,,,,,,,,,,,Đảng Xã hội Destour; (1964–1987); Neo Destour; (1934–1964); Phong trào Destour; (1930–1934),,,,,,,,,,,,,,,,,
369,H. G. Wells,Person,https://vi.wikipedia.org/wiki/H._G._Wells,,,,,,,,,,,,,,,,,,,,,,,,,Đại học Khoa học Hoàng gia ( Đại học Hoàng gia Luân Đôn ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lịch sử thế giới sự tiến bộ,,,,,,,,,,,"4, bao gồm George Phillip ""G. P."" Wells và Anthony West",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jules Romains,,,,,,,,,,,,,,,,,,,,,,,"13 tháng 8 năm 1946; (1946-08-13); (79 tuổi); Hannover Terrace; ,; Luân Đôn; , Anh",,,,,Tiểu thuyết giáo viên nhà sử nhà báo,,,,,,,,,,,,,,,Joseph Wells; (cha); Simon Wells; (chắt),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Isabel Mary Wells; (cưới 1891⁠–⁠; ld.; 1894); Amy Catherine Robbins; (cưới 1895⁠–⁠mất 1927),,,,,,,,,,,,,,,,,,,"Herbert George Wells; (; 1866-09-21; ); 21 tháng 9 năm 1866; Bromley; ,; Kent; , Anh",,,,,,,,,,,,,,,,,,,,,,,,Khoa học viễn tưởng,,,,,,,,,,,,,John Galsworthy,,,,Hiện thực xã hội,,,,,,,,,,,,Đại cương Thế giới Xứ mù Căn phòng đỏ Tiểu thuyết: Cỗ máy thời gian Người vô hình Chiến tranh giữa các thế giới Hòn đảo của Tiến sĩ Moreau Tiên phong lên mặt trăng Điềm báo tương lai Ann Veronica Người ngủ thức dậy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
