id,name,label,wiki_url,Acronym,Anthem,Athletics,Badges,Biệt danh,Board Chairman,Bài hát,Báo,Báo chí,Báo trường,Bí thư Đảng,Bí thư Đảng ủy,Bính âm Hán ngữ,Bính âm Thông dụng,Bộ phận của,Chú âm phù hiệu,Chưởng ấn,Chỉ huynổi tiếng,Chủ tịch,Chủ tịch Hội đồng trường,Các khuôn viên khác,Công nhận,Diện tích sàn,Du học sinh,Dạng thời khóa biểu,Former pupils,Giám đốc,Giáo viên,Giảng viên,Giản thể,Giới tính theo học,Hangul,Hanja,Head Master,Hiệu ca,Hiệu trưởng,Hiệu trưởng danh dự,Hoàn thành,Hoạt động,Hình thức đào tạo,Học kỳ,Học phí,Hội đồng trường,IPA,Khu vực,Khuôn viên,Khuôn viên khác,Khẩu hiệu,Khẩu hiệu trong Tiếng Anh,Kinh phí,Kỷ yếu,Latinh hóa Yale,Latinh hóatiếng Thượng Hải,Linh vật,Liên kết,Liên kết học tập,Liên kết thể thao,Loại,Loại hình,Loại trường,McCune–Reischauer,Màu,Mã trường,Newspaper,Nghiên cứu sinh,Ngân sách,Ngôn ngữ,Người đoạt giải Nobel,Nhà,Nhà xuất bản đại học,Nhân viên,Nhân viên quản lý,Những khuôn viên khác,Năm thành lập,Other campuses,Other campuses[9],Phiên âm,Phân loại,Phó giám đốc,Phó hiệu trưởng,Phó hiệu trưởng và Chủ tịch,Phó viện trưởng,Phồn thể,Phục vụ,Pro-chancellor,Publications,Quân chủng,Quốc gia,Rector,Rector Magnificus,Rector magnificusvàVice Chancellor,Romaja quốc ngữ,Satellite Campuses,Sinh viên,Sinh viên chuyên nghiệp,Sinh viên khác,Sinh viên sau đại học,Sinh viên đại học,Sports teams,Superintendent,Sáng lập,Số Sinh viên,Số cơ sở,Số học sinh,Số tham khảo,Số tầng,Thành lập,Thành lập bởi,Thành viên,Thành viên của,Thể thao,Tiêu chuẩn,Trang web,Trạng thái,Trụ sở chính,Tài trợ,Tên chính thức,Tên cũ,Tên khác,Tính đến sàn cao nhất,Tôn giáo,Tôn giáo liên kết,Tạp chí sinh viên,Tỉ lệ học sinh/giáo viên,Tọa độ,Tổ chức mẹ,Tổ chức quyên góp,Tổng nhân viên,Tờ báo,Vice Provost for Student Affairs & Dean of Student,Visitor,Viết tắt,Viện trưởng,Việt bính,Vị trí,Wade–Giles,Webometrics(2020),Website,Xuất bản,Điền kinh,Đề cử,Địa chỉ,Địa điểm,Độ tuổi theo học,• Khác
67,Học viện Nghệ thuật Hoàng gia Nga,University,https://vi.wikipedia.org/wiki/H%E1%BB%8Dc_vi%E1%BB%87n_Ngh%E1%BB%87_thu%E1%BA%ADt_Ho%C3%A0ng_gia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,Học viện Ngoại giao,University,https://vi.wikipedia.org/wiki/H%E1%BB%8Dc_vi%E1%BB%87n_Quan_h%E1%BB%87_Qu%E1%BB%91c_t%E1%BA%BF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,Học viện Hải quân Hoa Kỳ,University,https://vi.wikipedia.org/wiki/H%E1%BB%8Dc_vi%E1%BB%87n_H%E1%BA%A3i_qu%C3%A2n_Hoa_K%E1%BB%B3,,,Extensive varsity and intramural program,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rodney P. Rempt,,,,,,,,,,"Căn cứ Hải quân , 338 mẫu Anh",,"Ex Scientia Tridens ( From Knowledge, Seapower )",,,,,,Bill the Goat,,,,Học viện quân sự liên bang,,,,Xanh █ Vàng █,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.400,,,,,,,,,10 tháng 10 năm 1845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,www.usna.edu,,,,,,,
75,Học viện Mỹ thuật Jan Matejko,University,https://vi.wikipedia.org/wiki/H%E1%BB%8Dc_vi%E1%BB%87n_M%E1%BB%B9_thu%E1%BA%ADt_Jan_Matejko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 khoa 9 tháng,,,,,,,Professor Jan Pamuła,,,,,,,,,,Đô thị,,,,,,,,,,,,,Trường công lập,,,,,,,,,,,,,353,,,,,,,,,,,,,,,,,,,,,,822 (2001/02),,,,,,,,,,,,,1818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,http://www.asp.krakow.pl,,,,"Plac Matejki 13, 31-157 Kraków , Kraków , Ba Lan",,,
79,Học viện Quân sự Frunze,University,https://vi.wikipedia.org/wiki/H%E1%BB%8Dc_vi%E1%BB%87n_Qu%C3%A2n_s%E1%BB%B1_Frunze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Học viện Phòng vệ Nhật Bản,University,https://vi.wikipedia.org/wiki/H%E1%BB%8Dc_vi%E1%BB%87n_Ph%C3%B2ng_v%E1%BB%87_Nh%E1%BA%ADt_B%E1%BA%A3n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ryosei Kokubun,,,,Đại học và sau đại học,,,,,,,,,,,,,,,,,,,,Đại học nhà nước,,,,,,,,,,,,,,1952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bộ Quốc phòng Nhật Bản,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Trang web chính thức Học viện Phòng vệ Nhật Bản,,,,,"1-10-20 Hashirimizu, Yokosuka , Kanagawa , Nhật Bản",,
81,Học viện Nghệ thuật Hoàng gia Nga,University,https://vi.wikipedia.org/wiki/H%E1%BB%8Dc_vi%E1%BB%87n_Ngh%E1%BB%87_thu%E1%BA%ADt_Ho%C3%A0ng_gia_Nga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1757–1917,,,,,,,,,,,,,,,,,,,,Học viện Nghệ thuật Hoàng gia của Đế quốc Nga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ivan Shuvalov,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Saint-Petersburg; ,; Đế quốc Nga; 59°56′15″B; 30°17′25″Đ; ﻿ / ﻿; 59,9375°B 30,29028°Đ; ﻿ /; 59.93750; 30.29028",,,,,,,,,,
89,Học viện Quân sự Hoa Kỳ,University,https://vi.wikipedia.org/wiki/H%E1%BB%8Dc_vi%E1%BB%87n_Qu%C3%A2n_s%E1%BB%B1_Hoa_K%E1%BB%B3,,,"25 đội, được gọi là ""Black Knights""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.080 mẫu Anh (65 km²),,Trách nhiệm • Danh dự • Tổ quốc; (Duty • Honor • Country; [; 1; ]; ),,,,,,,,,,Học viện quân sự liên bang,,,,"Black █ , Gray █ , and Gold █",,,,,,,,,Khoảng 500 giảng viên,,,,,,,,,,,,,,,,,,,,,,,,,,,4.000,,Trung tướng Franklin Hagenbeck,,,,,,,1802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,www.usma.edu,,,,,,,
90,Học viện Chính trị Quốc gia Hồ Chí Minh,University,https://vi.wikipedia.org/wiki/H%E1%BB%8Dc_vi%E1%BB%87n_Ch%C3%ADnh_tr%E1%BB%8B_Qu%E1%BB%91c_gia_H%E1%BB%93_Ch%C3%AD_Minh,,,,,,,,,,,,,,,,,,,,,,,,,,,"GS, TS Nguyễn Xuân Thắng",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Học viện công lập,,,,,,,,,,,,,,,,,,,,,"PGS, TS; Đoàn Minh Huấn; PGS, TS Nguyễn Duy Bắc; PGS, TS Hoàng Phúc Lâm; PGS, TS Dương Trung Ý",,,,,,,,,,,,,,,,,,,,,,,,,,,,1949 (75–76 năm trước),,,,,,,,,,,,,,,,,,,,,,,,,HCMA,,,,,,hcma .vn,,,,,,,
104,Học viện âm nhạc Curtis,University,https://vi.wikipedia.org/wiki/H%E1%BB%8Dc_vi%E1%BB%87n_%C3%A2m_nh%E1%BA%A1c_Curtis,,,,,,,,,,,,,,,,,,,,,,,,,,,Roberto Díaz,,,,,,,,,,,,,,,,,,,Đô thị,,,,,,,,,,,,,Trường tư,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167,,,,,,,,,,,,,1924 ; 101 năm trước ( 1924 ),,,,,,,,,253.2 triệu USD (2019) [ 1 ],,,,,,,,,,,,,,,,,Roberto Díaz,,"Philadelphia , Pennsylvania , Hoa Kỳ",,,Website chính thức,,,,,,,
