src_university,dst_university,relation
Đại học bang Ohio,Đại học Miami,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học bang Ohio,Đại học Texas tại Austin,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học bang Ohio,Đại học Columbia,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học bang Ohio,Đại học Harvard,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học bang Ohio,Đại học Johns Hopkins,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học bang Ohio,Đại học Pennsylvania,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học bang Ohio,Đại học Princeton,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học bang Ohio,Đại học Nam California,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học bang Ohio,Đại học Stanford,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học bang Ohio,Đại học Yale,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Nam California,Đại học Pennsylvania,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Nam California,Đại học Stanford,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Nam California,Đại học Texas tại Austin,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Nam California,Đại học Columbia,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Nam California,Đại học Harvard,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Nam California,Đại học Johns Hopkins,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Nam California,Đại học Princeton,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Nam California,Đại học Yale,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Pennsylvania,Đại học Columbia,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Pennsylvania,Đại học Harvard,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Pennsylvania,Đại học Stanford,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Pennsylvania,Đại học Texas tại Austin,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Pennsylvania,Đại học Johns Hopkins,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Pennsylvania,Đại học Princeton,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Pennsylvania,Đại học Nam California,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Pennsylvania,Đại học Yale,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Texas tại Austin,Đại học Columbia,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Texas tại Austin,Đại học Harvard,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Texas tại Austin,Đại học Johns Hopkins,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Texas tại Austin,Đại học Pennsylvania,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Texas tại Austin,Đại học Princeton,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Texas tại Austin,Đại học Nam California,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Texas tại Austin,Đại học Stanford,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Texas tại Austin,Đại học Yale,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Oxford,Đại học Harvard,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Oxford,Đại học Stanford,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Stanford,Đại học Harvard,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Stanford,Đại học Yale,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Stanford,Đại học Princeton,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Stanford,Đại học Texas tại Austin,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Stanford,Đại học Columbia,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Stanford,Đại học Johns Hopkins,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Stanford,Đại học Pennsylvania,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Stanford,Đại học Nam California,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Yale,Đại học Princeton,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Yale,Đại học Pennsylvania,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Yale,Đại học Oxford,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Yale,Đại học Texas tại Austin,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Yale,Đại học Columbia,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Yale,Đại học Harvard,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Yale,Đại học Johns Hopkins,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Yale,Đại học Nam California,UNIVERSITY_MENTIONS_UNIVERSITY
Đại học Yale,Đại học Stanford,UNIVERSITY_MENTIONS_UNIVERSITY
