src_person_id,dst_person_id,src_person,dst_person,shared_count
16,764,Alain Poher,Michel Rocard,1
16,839,Alain Poher,Nicolas Sarkozy,1
16,1224,Alain Poher,Édouard Philippe,1
20,157,Alain Juppé,Chandrika Kumaratunga,1
20,215,Alain Juppé,Dominique Strauss-Kahn,1
20,299,Alain Juppé,François Mitterrand,1
20,311,Alain Juppé,Gabriel Attal,1
20,329,Alain Juppé,Georges Pompidou,1
20,461,Alain Juppé,Jacques Chaban-Delmas,1
20,652,Alain Juppé,Laurent Fabius,1
20,762,Alain Juppé,Michel Debré,1
20,839,Alain Juppé,Nicolas Sarkozy,1
20,1224,Alain Juppé,Édouard Philippe,1
157,215,Chandrika Kumaratunga,Dominique Strauss-Kahn,1
157,267,Chandrika Kumaratunga,Emmanuel Macron,1
157,291,Chandrika Kumaratunga,François Hollande,1
157,299,Chandrika Kumaratunga,François Mitterrand,1
157,311,Chandrika Kumaratunga,Gabriel Attal,1
157,329,Chandrika Kumaratunga,Georges Pompidou,1
157,461,Chandrika Kumaratunga,Jacques Chaban-Delmas,1
157,652,Chandrika Kumaratunga,Laurent Fabius,1
157,762,Chandrika Kumaratunga,Michel Debré,1
157,764,Chandrika Kumaratunga,Michel Rocard,1
157,839,Chandrika Kumaratunga,Nicolas Sarkozy,1
157,1224,Chandrika Kumaratunga,Édouard Philippe,1
215,267,Dominique Strauss-Kahn,Emmanuel Macron,2
215,291,Dominique Strauss-Kahn,François Hollande,1
215,299,Dominique Strauss-Kahn,François Mitterrand,1
215,311,Dominique Strauss-Kahn,Gabriel Attal,1
215,329,Dominique Strauss-Kahn,Georges Pompidou,1
215,461,Dominique Strauss-Kahn,Jacques Chaban-Delmas,1
215,652,Dominique Strauss-Kahn,Laurent Fabius,1
215,762,Dominique Strauss-Kahn,Michel Debré,1
215,764,Dominique Strauss-Kahn,Michel Rocard,1
215,839,Dominique Strauss-Kahn,Nicolas Sarkozy,2
215,1224,Dominique Strauss-Kahn,Édouard Philippe,1
267,299,Emmanuel Macron,François Mitterrand,1
267,311,Emmanuel Macron,Gabriel Attal,1
267,329,Emmanuel Macron,Georges Pompidou,1
267,461,Emmanuel Macron,Jacques Chaban-Delmas,1
267,652,Emmanuel Macron,Laurent Fabius,1
267,762,Emmanuel Macron,Michel Debré,1
267,839,Emmanuel Macron,Nicolas Sarkozy,2
267,1224,Emmanuel Macron,Édouard Philippe,1
291,299,François Hollande,François Mitterrand,1
291,311,François Hollande,Gabriel Attal,2
291,329,François Hollande,Georges Pompidou,1
291,461,François Hollande,Jacques Chaban-Delmas,1
291,652,François Hollande,Laurent Fabius,1
291,762,François Hollande,Michel Debré,1
291,839,François Hollande,Nicolas Sarkozy,1
291,1224,François Hollande,Édouard Philippe,1
299,311,François Mitterrand,Gabriel Attal,1
299,329,François Mitterrand,Georges Pompidou,1
299,461,François Mitterrand,Jacques Chaban-Delmas,1
299,652,François Mitterrand,Laurent Fabius,1
299,762,François Mitterrand,Michel Debré,2
299,764,François Mitterrand,Michel Rocard,1
299,839,François Mitterrand,Nicolas Sarkozy,1
299,1224,François Mitterrand,Édouard Philippe,1
311,329,Gabriel Attal,Georges Pompidou,1
311,461,Gabriel Attal,Jacques Chaban-Delmas,1
311,652,Gabriel Attal,Laurent Fabius,1
311,762,Gabriel Attal,Michel Debré,1
311,764,Gabriel Attal,Michel Rocard,1
311,839,Gabriel Attal,Nicolas Sarkozy,1
311,1224,Gabriel Attal,Édouard Philippe,1
329,461,Georges Pompidou,Jacques Chaban-Delmas,1
329,652,Georges Pompidou,Laurent Fabius,1
329,762,Georges Pompidou,Michel Debré,1
329,764,Georges Pompidou,Michel Rocard,1
329,839,Georges Pompidou,Nicolas Sarkozy,1
329,1224,Georges Pompidou,Édouard Philippe,1
461,652,Jacques Chaban-Delmas,Laurent Fabius,1
461,762,Jacques Chaban-Delmas,Michel Debré,1
461,764,Jacques Chaban-Delmas,Michel Rocard,1
461,839,Jacques Chaban-Delmas,Nicolas Sarkozy,1
461,1224,Jacques Chaban-Delmas,Édouard Philippe,1
652,762,Laurent Fabius,Michel Debré,1
652,764,Laurent Fabius,Michel Rocard,1
652,839,Laurent Fabius,Nicolas Sarkozy,1
652,1224,Laurent Fabius,Édouard Philippe,1
762,764,Michel Debré,Michel Rocard,1
762,839,Michel Debré,Nicolas Sarkozy,1
762,1224,Michel Debré,Édouard Philippe,1
764,839,Michel Rocard,Nicolas Sarkozy,1
764,1224,Michel Rocard,Édouard Philippe,1
839,1224,Nicolas Sarkozy,Édouard Philippe,1
19,225,Abe Shinzō,Doug Emhoff,1
19,781,Abe Shinzō,Miki Takeo,1
19,783,Abe Shinzō,Mohamed Morsi,1
225,781,Doug Emhoff,Miki Takeo,1
225,783,Doug Emhoff,Mohamed Morsi,1
781,783,Miki Takeo,Mohamed Morsi,1
22,127,Alan García,Boutros Boutros-Ghali,1
23,94,Alassane Ouattara,Beau Biden,1
23,122,Alassane Ouattara,Bongbong Marcos,1
23,238,Alassane Ouattara,Ed Rendell,1
23,298,Alassane Ouattara,Donald Trump,1
23,455,Alassane Ouattara,Ivanka Trump,1
23,913,Alassane Ouattara,Phil Murphy,1
23,921,Alassane Ouattara,Noam Chomsky,1
23,1090,Alassane Ouattara,Toomas Hendrik Ilves,1
23,1190,Alassane Ouattara,William Henry Harrison,1
94,122,Beau Biden,Bongbong Marcos,1
94,238,Beau Biden,Ed Rendell,1
94,298,Beau Biden,Donald Trump,1
94,455,Beau Biden,Ivanka Trump,1
94,913,Beau Biden,Phil Murphy,1
94,921,Beau Biden,Noam Chomsky,1
94,1090,Beau Biden,Toomas Hendrik Ilves,1
94,1190,Beau Biden,William Henry Harrison,1
122,238,Bongbong Marcos,Ed Rendell,1
122,298,Bongbong Marcos,Donald Trump,1
122,455,Bongbong Marcos,Ivanka Trump,1
122,913,Bongbong Marcos,Phil Murphy,1
122,921,Bongbong Marcos,Noam Chomsky,1
122,1090,Bongbong Marcos,Toomas Hendrik Ilves,1
122,1190,Bongbong Marcos,William Henry Harrison,1
298,238,Donald Trump,Ed Rendell,1
238,455,Ed Rendell,Ivanka Trump,1
238,913,Ed Rendell,Phil Murphy,1
238,921,Ed Rendell,Noam Chomsky,1
238,1090,Ed Rendell,Toomas Hendrik Ilves,1
238,1190,Ed Rendell,William Henry Harrison,1
298,455,Donald Trump,Ivanka Trump,1
298,913,Donald Trump,Phil Murphy,1
298,921,Donald Trump,Noam Chomsky,1
298,1090,Donald Trump,Toomas Hendrik Ilves,1
298,1190,Donald Trump,William Henry Harrison,1
455,913,Ivanka Trump,Phil Murphy,1
455,921,Ivanka Trump,Noam Chomsky,1
455,1090,Ivanka Trump,Toomas Hendrik Ilves,1
455,1190,Ivanka Trump,William Henry Harrison,1
921,913,Noam Chomsky,Phil Murphy,1
913,1090,Phil Murphy,Toomas Hendrik Ilves,1
913,1190,Phil Murphy,William Henry Harrison,1
921,1090,Noam Chomsky,Toomas Hendrik Ilves,1
921,1190,Noam Chomsky,William Henry Harrison,1
1090,1190,Toomas Hendrik Ilves,William Henry Harrison,1
24,1052,Alben W. Barkley,Ted Kennedy,1
26,126,Alenka Bratušek,Borut Pahor,1
26,487,Alenka Bratušek,Janez Drnovšek,1
26,496,Alenka Bratušek,Janez Janša,1
126,487,Borut Pahor,Janez Drnovšek,1
126,496,Borut Pahor,Janez Janša,1
487,496,Janez Drnovšek,Janez Janša,1
27,219,Aleksander Kwaśniewski,Donald Tusk,1
27,656,Aleksander Kwaśniewski,Lech Kaczyński,1
219,656,Donald Tusk,Lech Kaczyński,1
29,130,Alcide De Gasperi,Brigitte Bierlein,1
29,164,Alcide De Gasperi,Christian Stocker,1
29,247,Alcide De Gasperi,Elias Canetti,1
29,295,Alcide De Gasperi,Friedrich Hayek,1
29,366,Alcide De Gasperi,Gustav Mahler,1
29,453,Alcide De Gasperi,Ivo Andrić,1
29,1007,Alcide De Gasperi,Sebastian Kurz,1
130,164,Brigitte Bierlein,Christian Stocker,1
130,247,Brigitte Bierlein,Elias Canetti,1
130,295,Brigitte Bierlein,Friedrich Hayek,1
130,366,Brigitte Bierlein,Gustav Mahler,1
130,453,Brigitte Bierlein,Ivo Andrić,1
130,1007,Brigitte Bierlein,Sebastian Kurz,1
164,247,Christian Stocker,Elias Canetti,1
164,295,Christian Stocker,Friedrich Hayek,1
164,366,Christian Stocker,Gustav Mahler,1
164,453,Christian Stocker,Ivo Andrić,1
164,1007,Christian Stocker,Sebastian Kurz,1
247,295,Elias Canetti,Friedrich Hayek,1
247,366,Elias Canetti,Gustav Mahler,1
247,453,Elias Canetti,Ivo Andrić,1
247,1007,Elias Canetti,Sebastian Kurz,1
295,366,Friedrich Hayek,Gustav Mahler,1
295,453,Friedrich Hayek,Ivo Andrić,1
295,1007,Friedrich Hayek,Sebastian Kurz,1
366,453,Gustav Mahler,Ivo Andrić,1
366,1007,Gustav Mahler,Sebastian Kurz,1
453,1007,Ivo Andrić,Sebastian Kurz,1
30,178,Alberto Fernández,Che Guevara,1
31,1073,Albert Speer,Thomas Mann,1
33,291,Alexander Schallenberg,François Hollande,1
33,311,Alexander Schallenberg,Gabriel Attal,1
33,1039,Alexander Schallenberg,Sébastien Lecornu,1
291,1039,François Hollande,Sébastien Lecornu,1
311,1039,Gabriel Attal,Sébastien Lecornu,1
34,584,Albert Gallatin,José Manuel Barroso,1
35,463,Alexander Stubb,Jacek Rostowski,1
35,902,Alexander Stubb,Pierre Trudeau,1
35,962,Alexander Stubb,Robert Mundell,1
35,974,Alexander Stubb,Romano Prodi,1
35,1059,Alexander Stubb,Tharman Shanmugaratnam,1
463,902,Jacek Rostowski,Pierre Trudeau,1
463,962,Jacek Rostowski,Robert Mundell,1
463,974,Jacek Rostowski,Romano Prodi,1
463,1059,Jacek Rostowski,Tharman Shanmugaratnam,1
902,962,Pierre Trudeau,Robert Mundell,1
902,974,Pierre Trudeau,Romano Prodi,1
902,1059,Pierre Trudeau,Tharman Shanmugaratnam,2
962,974,Robert Mundell,Romano Prodi,1
962,1059,Robert Mundell,Tharman Shanmugaratnam,1
974,1059,Romano Prodi,Tharman Shanmugaratnam,1
36,517,Alberto Fujimori,Jean-Claude Juncker,1
36,632,Alberto Fujimori,Klemens von Metternich,1
517,632,Jean-Claude Juncker,Klemens von Metternich,1
37,75,Alexandre Millerand,Armand Fallières,1
37,154,Alexandre Millerand,Carole Bouquet,1
37,167,Alexandre Millerand,Charles-Maurice de Talleyrand-Périgord,1
37,237,Alexandre Millerand,Edvard Beneš,1
37,299,Alexandre Millerand,François Mitterrand,1
37,305,Alexandre Millerand,Gaston Doumergue,1
37,368,Alexandre Millerand,Habib Bourguiba,1
37,394,Alexandre Millerand,Henri Bergson,1
37,468,Alexandre Millerand,Jacques-Louis David,1
37,501,Alexandre Millerand,Jean Casimir-Perier,1
37,508,Alexandre Millerand,Jean-Luc Godard,1
37,567,Alexandre Millerand,John Turner,1
37,762,Alexandre Millerand,Michel Debré,1
37,768,Alexandre Millerand,Miguel Ángel Asturias,1
37,871,Alexandre Millerand,Paul Deschanel,1
37,874,Alexandre Millerand,Paul Doumer,1
37,915,Alexandre Millerand,Pierre Mendès France,1
37,931,Alexandre Millerand,Raymond Poincaré,1
37,991,Alexandre Millerand,Saionji Kinmochi,1
37,1217,Alexandre Millerand,Émile Loubet,1
75,154,Armand Fallières,Carole Bouquet,1
75,167,Armand Fallières,Charles-Maurice de Talleyrand-Périgord,1
75,237,Armand Fallières,Edvard Beneš,1
75,299,Armand Fallières,François Mitterrand,1
75,305,Armand Fallières,Gaston Doumergue,1
75,368,Armand Fallières,Habib Bourguiba,1
75,394,Armand Fallières,Henri Bergson,1
75,468,Armand Fallières,Jacques-Louis David,1
75,501,Armand Fallières,Jean Casimir-Perier,1
75,508,Armand Fallières,Jean-Luc Godard,1
75,567,Armand Fallières,John Turner,1
75,762,Armand Fallières,Michel Debré,1
75,768,Armand Fallières,Miguel Ángel Asturias,1
75,871,Armand Fallières,Paul Deschanel,1
75,874,Armand Fallières,Paul Doumer,1
75,915,Armand Fallières,Pierre Mendès France,1
75,931,Armand Fallières,Raymond Poincaré,1
75,991,Armand Fallières,Saionji Kinmochi,1
75,1217,Armand Fallières,Émile Loubet,1
154,167,Carole Bouquet,Charles-Maurice de Talleyrand-Périgord,1
154,237,Carole Bouquet,Edvard Beneš,1
154,299,Carole Bouquet,François Mitterrand,1
154,305,Carole Bouquet,Gaston Doumergue,1
154,368,Carole Bouquet,Habib Bourguiba,1
154,394,Carole Bouquet,Henri Bergson,1
154,468,Carole Bouquet,Jacques-Louis David,1
154,501,Carole Bouquet,Jean Casimir-Perier,1
154,508,Carole Bouquet,Jean-Luc Godard,1
154,567,Carole Bouquet,John Turner,1
154,762,Carole Bouquet,Michel Debré,1
154,768,Carole Bouquet,Miguel Ángel Asturias,1
154,871,Carole Bouquet,Paul Deschanel,1
154,874,Carole Bouquet,Paul Doumer,1
154,915,Carole Bouquet,Pierre Mendès France,1
154,931,Carole Bouquet,Raymond Poincaré,1
154,991,Carole Bouquet,Saionji Kinmochi,1
154,1217,Carole Bouquet,Émile Loubet,1
167,237,Charles-Maurice de Talleyrand-Périgord,Edvard Beneš,1
167,299,Charles-Maurice de Talleyrand-Périgord,François Mitterrand,1
167,305,Charles-Maurice de Talleyrand-Périgord,Gaston Doumergue,1
167,368,Charles-Maurice de Talleyrand-Périgord,Habib Bourguiba,1
167,394,Charles-Maurice de Talleyrand-Périgord,Henri Bergson,1
167,468,Charles-Maurice de Talleyrand-Périgord,Jacques-Louis David,1
167,501,Charles-Maurice de Talleyrand-Périgord,Jean Casimir-Perier,1
167,508,Charles-Maurice de Talleyrand-Périgord,Jean-Luc Godard,1
167,567,Charles-Maurice de Talleyrand-Périgord,John Turner,1
167,762,Charles-Maurice de Talleyrand-Périgord,Michel Debré,1
167,768,Charles-Maurice de Talleyrand-Périgord,Miguel Ángel Asturias,1
167,871,Charles-Maurice de Talleyrand-Périgord,Paul Deschanel,1
167,874,Charles-Maurice de Talleyrand-Périgord,Paul Doumer,1
167,915,Charles-Maurice de Talleyrand-Périgord,Pierre Mendès France,1
167,931,Charles-Maurice de Talleyrand-Périgord,Raymond Poincaré,1
167,991,Charles-Maurice de Talleyrand-Périgord,Saionji Kinmochi,1
167,1217,Charles-Maurice de Talleyrand-Périgord,Émile Loubet,1
